id,vantage,run,grupo,sigla,pais,url,ok,error,title,lang,viewport,https,cookies_pre,rastreo_pre,nombres_rastreo,cmp,banner,ax_violaciones,ax_nodos,nivelA_nodos,nivelAA_nodos,nivelAAA_nodos,Perceptible,Operable,Comprensible,Robusto,max_nivel_sin_fallo_auto,incompletos,fecha
40,EC,1,mundo,Manchester,GB,https://www.manchester.ac.uk,true,,The University of Manchester,en,1,1,51,24,_gcl_au YSC VISITOR_INFO1_LIVE _gid _gat_UA-4619980-2 _gat_UA-3161158-1 _ga_1ET7C6PX1B _ga _ttp _fbp _ga_WL8VVSMZQ2 fr _ga_Z9M4Y77VXZ nmstat _uetsid _uetvid _tt_enable_cookie _ttp IDE _hjSessionUser_1511907 _hjSession_1511907 MUID _clck _clsk,OneTrust,0,0,0,0,0,0,0,0,0,0,AAA,1,2026-09-14T21:55:37.209Z
41,EC,1,mundo,UBC,CA,https://www.ubc.ca,true,,The University of British Columbia,en-ca,1,1,12,4,_gcl_au _ga_Q74JQJCYJK _ga test_cookie,,0,2,20,0,5,15,15,5,0,0,A,4,2026-09-14T21:55:44.110Z
42,EC,1,mundo,Sydney,AU,https://www.sydney.edu.au,true,,One of Australia’s top universities - The University of Sydney,en-US,1,1,68,23,_gcl_au _ga_KXYY9PEVLH _ga s_ecid AMCV_35B46472540D9EE20A4C98A6%40AdobeOrg IDE _ttp mbox s_ips s_ppv _fbp fr _tt_enable_cookie _ttp s_cc _hjSessionUser_550296 _hjSession_550296 Hm_lvt_1426d6da699eb30a7515d65930a0dbff Hm_lpvt_1426d6da699eb30a7515d65930a0dbff HMACCOUNT s_tp YSC VISITOR_INFO1_LIVE,,0,3,15,1,1,13,14,1,0,0,ninguno,2,2026-09-14T21:55:52.132Z
43,EC,1,mundo,Paris-Saclay,FR,https://www.universite-paris-saclay.fr/en,true,,Université Paris-Saclay,en,1,1,2,0,,Tarteaucitron,1,2,8,1,0,7,7,0,0,1,ninguno,3,2026-09-14T21:56:00.803Z
44,EC,1,mundo,Kyoto,JP,https://www.kyoto-u.ac.jp/en,true,,KYOTO UNIVERSITY,en,1,1,2,2,_ga_P51JW1MC7Y _ga,,0,2,5,0,5,0,1,4,0,0,A,3,2026-09-14T21:56:09.184Z
45,EC,1,mundo,Illinois,US,https://illinois.edu,true,,Illinois,en-US,1,1,4,2,_ga_TWFEJJKL35 _ga,OneTrust,1,1,7,0,0,7,7,0,0,0,AA,4,2026-09-14T21:56:17.777Z
46,EC,1,mundo,UT Austin,US,https://www.utexas.edu,true,,The University of Texas at Austin,en,1,1,25,12,_gid _gat_UA-11887171-8 _gat_UA-11887171-2 _ga_4W6P6NJBBS _ga_PTWC4TZX3W _ga _ga_EVFNF1Z4Q4 _ga_X3HZEK54PC _clck _clsk MUID MUID,,0,1,25,0,0,25,25,0,0,0,AA,3,2026-09-14T21:56:24.496Z
47,EC,1,mundo,UW,US,https://www.washington.edu,true,,UW Homepage,en,1,1,48,9,_fbp _ga _ga_JLHM9WH4JV fr _ga_3T65WK0BM8 _gcl_au _clck _clsk IDE,,0,3,11,1,7,3,3,7,0,1,ninguno,3,2026-09-14T21:56:32.357Z
48,EC,1,mundo,NTU,SG,https://www.ntu.edu.sg,true,,Nanyang Technological University - NTU Singapore,en,1,1,47,13,_fbp fr _ga _ga_8LPDJ1LB78 _ttp _ga_NP4QFYPSX6 _ga_DX9Q4KPWT3 _ga_PWNJKZG9MN _ga_DWDBVB5J8J _gcl_au _tt_enable_cookie _ttp IDE,,1,4,9,3,1,5,6,3,0,0,ninguno,2,2026-09-14T21:56:40.311Z
49,EC,1,mundo,McGill,CA,https://www.mcgill.ca,true,,McGill University,,1,1,1,0,,,1,3,7,6,0,1,6,0,1,0,ninguno,1,2026-09-14T21:56:50.246Z
