id,vantage,run,grupo,sigla,pais,url,ok,error,title,lang,viewport,https,cookies_pre,rastreo_pre,nombres_rastreo,cmp,banner,ax_violaciones,ax_nodos,nivelA_nodos,nivelAA_nodos,nivelAAA_nodos,Perceptible,Operable,Comprensible,Robusto,max_nivel_sin_fallo_auto,incompletos,fecha
55,GB,2,mundo,Monash,AU,https://www.monash.edu,true,,Monash University | Study at Monash Uni | Melbourne,en,1,1,10,3,YSC VISITOR_INFO1_LIVE utag_main,,1,2,18,0,1,17,18,0,0,0,A,3,2026-08-15T21:56:34.638Z
56,GB,2,mundo,SNU,KR,https://en.snu.ac.kr,true,,Seoul National University,en,1,1,2,2,_ga_PVQ4G3Z4TR _ga,,0,3,22,0,14,8,22,0,0,0,A,3,2026-08-15T21:56:44.359Z
57,GB,2,mundo,Heidelberg,DE,https://www.uni-heidelberg.de/en,true,,Heidelberg University,en,1,1,2,0,,,0,2,68,1,0,67,67,0,0,1,ninguno,2,2026-08-15T21:56:52.738Z
58,GB,2,mundo,HKUST,HK,https://hkust.edu.hk/,true,,The Hong Kong University of Science and Technology ｜World's Top 50 Universities｜Leading Research Excellence,en,1,1,0,0,,,0,7,17,14,2,1,10,5,0,2,ninguno,4,2026-08-15T21:57:05.194Z
59,GB,2,mundo,Karolinska,SE,https://ki.se/en,true,,Karolinska Institutet - a medical university,en,1,1,2,0,,,0,5,7,4,2,1,2,2,0,3,ninguno,2,2026-08-15T21:57:16.333Z
60,GB,2,mundo,TU Delft,NL,https://www.tudelft.nl/en/,true,,Delft University of Technology | TU Delft | Challenge. Change. Impact!,en,1,1,1,0,,Cookiebot,1,3,23,0,22,1,18,5,0,0,A,2,2026-08-15T21:57:24.977Z
61,GB,2,mundo,ANU,AU,https://www.anu.edu.au/,true,,The Australian National University,en,1,1,10,4,_ga_E1GV4NJHV2 _ga _fbp personalization_id,OneTrust,1,1,1,0,0,1,1,0,0,0,AA,4,2026-08-15T21:57:35.332Z
62,GB,2,mundo,KU Leuven,BE,https://www.kuleuven.be/english/,true,,KU Leuven,en,1,1,6,0,,OneTrust,1,3,5,1,3,1,5,0,0,0,ninguno,2,2026-08-15T21:57:44.388Z
63,GB,2,mundo,Queensland,AU,https://www.uq.edu.au/,true,,The University of Queensland,en,1,1,12,7,_gcl_au IDE _ga_QG0JXDMRML _ga _hjSessionUser_2849117 _hjSession_2849117 _fbp,,0,2,13,1,0,12,13,0,0,0,ninguno,2,2026-08-15T21:57:57.534Z
64,GB,2,ecuador,EPN,EC,https://www.epn.edu.ec,true,,,es,1,1,25,0,,,0,3,4,2,2,0,2,2,0,0,ninguno,1,2026-08-15T21:58:08.445Z
