id,grupo,sigla,pais,url,ok,error,title,lang,viewport,https,cookies_pre,rastreo_pre,nombres_rastreo,cmp,banner,ax_violaciones,ax_nodos,nivelA_nodos,nivelAA_nodos,nivelAAA_nodos,Perceptible,Operable,Comprensible,Robusto,max_nivel_sin_fallo_auto
12,Mundo,Yale,EE.UU.,https://www.yale.edu,true,,Yale University,en,1,1,7,6,nmstat _ga _gid _gat_gtag_UA_991898_23 _ga_D491W728G4 _ga,,0,2,17,3,0,14,17,0,0,0,ninguno
13,Mundo,UPenn,EE.UU.,https://www.upenn.edu,true,,University of Pennsylvania,en,1,1,4,4,_gid _gat_UA-78054-1 _ga _ga_LL85393RFV,,0,2,4,1,0,3,4,0,0,0,ninguno
14,Mundo,UCL,Reino Unido,https://www.ucl.ac.uk,true,,Welcome to UCL | University College London,en,1,1,2,0,,,1,0,0,0,0,0,0,0,0,0,AAA
15,Mundo,Cornell,EE.UU.,https://www.cornell.edu,true,,Cornell University,en,1,1,9,9,__utma __utmc __utmz __utmt __utmb _ga_PMZ19X3F8W _ga _ga_XJK3YSJ0LV nmstat,,0,2,6,1,0,5,5,0,0,1,ninguno
16,Mundo,Tsinghua,China,https://www.tsinghua.edu.cn/en/,true,,Tsinghua University,,1,1,1,0,,,0,10,49,39,6,4,11,32,1,5,ninguno
17,Mundo,Peking,China,https://english.pku.edu.cn,true,,Peking University,,1,1,0,0,,,0,5,19,18,1,0,2,14,1,2,ninguno
18,Mundo,Johns Hopkins,EE.UU.,https://www.jhu.edu,true,,Johns Hopkins University,en,1,1,12,5,nmstat personalization_id _ga_8031WYVC9V _ga _ga_TSX9K66082,,0,3,7,5,0,2,3,4,0,0,ninguno
19,Mundo,Columbia,EE.UU.,https://www.columbia.edu,true,,Columbia University in the City of New York,en,1,1,15,6,YSC VISITOR_INFO1_LIVE _gid _gat_gtag_UA_18290390_1 _ga_09H1KYXPLX _ga,,1,4,52,2,6,44,51,0,0,1,ninguno
20,Mundo,Toronto,Canadá,https://www.utoronto.ca,true,,University of Toronto,en,1,1,12,8,_gcl_au _ga _ga_0X74MN6XS3 _clck IDE _clsk MUID MUID,,0,1,19,0,0,19,19,0,0,0,AA
21,Mundo,UCLA,EE.UU.,https://www.ucla.edu,true,,A World Leader in Education and Research Excellence | UCLA,en,1,1,9,4,YSC VISITOR_INFO1_LIVE _ga_6BMZK7EYHE _ga,,0,1,64,0,0,64,64,0,0,0,AA
22,Mundo,NUS,Singapur,https://nus.edu.sg,true,,NUS - National University of Singapore,,1,1,7,2,_ga_2T8KTSDET6 _ga,,1,7,60,24,21,15,36,23,1,0,ninguno
23,Mundo,U Tokyo,Japón,https://www.u-tokyo.ac.jp/en/,true,,The University of Tokyo,en,1,1,2,2,_ga_DWSZ09TFCH _ga,,0,8,28,11,6,11,15,3,0,10,ninguno
24,Mundo,TUM,Alemania,https://www.tum.de/en/,true,,Technical University of Munich: The Entrepreneurial University - TUM,en-US,1,1,0,0,,,0,1,23,0,0,23,23,0,0,0,AA
25,Mundo,Melbourne,Australia,https://www.unimelb.edu.au,true,,The University of Melbourne - Australia's #1 Ranked University,en,1,1,39,15,utag_main__ss utag_main__st utag_main_ses_id s_nr30 s_tslv s_inv s_ips s_tp s_ppv utag_main_v_id _ga_L55G410M0Q AMCV_0BFB1E5866E1D2E70A495C3B%40AdobeOrg _ga_YE8SEG9T0S _ga_J6RRCK6F9V _ga,,1,1,1,1,0,0,1,0,0,0,ninguno
26,Mundo,Edinburgh,Reino Unido,https://www.ed.ac.uk,true,,The University of Edinburgh,en,1,1,0,0,,,0,2,37,1,0,36,37,0,0,0,ninguno
27,Mundo,EPFL,Suiza,https://www.epfl.ch/en/,true,,EPFL,en-GB,1,1,2,2,_ga_N6BF9H5G73 _ga,,1,3,101,1,85,15,100,1,0,0,ninguno
28,Mundo,Michigan,EE.UU.,https://umich.edu,true,,University of Michigan,en,1,1,4,2,_ga_29C4RBNCNZ _ga,,0,2,13,0,5,8,8,5,0,0,A
29,Mundo,Northwestern,EE.UU.,https://www.northwestern.edu,true,,Northwestern University,en,1,1,9,0,,CookieYes,1,0,0,0,0,0,0,0,0,0,AAA
30,Mundo,Fudan,China,https://www.fudan.edu.cn/en/,true,,Fudan University,,1,1,5,3,Hm_lvt_829a28d038f7cea73ca2728904e244bc Hm_lpvt_829a28d038f7cea73ca2728904e244bc HMACCOUNT,,0,6,44,18,3,23,40,3,1,0,ninguno
31,Mundo,PSL,Francia,https://www.psl.eu/en,true,,PSL University | PSL,en,1,1,1,0,,,1,5,25,8,12,5,16,8,0,1,ninguno
32,Mundo,HKU,Hong Kong,https://www.hku.hk,true,,The University of Hong Kong (HKU),en,1,1,10,9,__utma __utmc __utmz __utmt __utmb _ga_ZHLLDTLTMG _ga _hjSessionUser_1966860 _hjSession_1966860,,0,8,27,13,14,0,15,1,0,11,ninguno
33,Mundo,Zhejiang,China,https://www.zju.edu.cn/english/,true,,Zhejiang University (ZJU),en,1,1,1,0,,,0,3,14,13,1,0,2,12,0,0,ninguno
34,Mundo,NYU,EE.UU.,https://www.nyu.edu,true,,New York University,en,1,1,11,9,_gcl_au IDE _ga_S194DLZYBD _ga _ga_9CWXCZX89G _ga_H4KKXQKFSM _ga_VR2BFTJ92R _ga_S4TP6272FF _ga_YKLBDQJ61W,Osano,1,1,2,0,0,2,2,0,0,0,AA
35,Mundo,SJTU,China,https://www.sjtu.edu.cn,true,,上海交通大学中文主页门户网站,zh-Hans,1,1,3,3,_pk_testcookie.299.e5ac _pk_id.299.e5ac _pk_ses.299.e5ac,,0,5,48,5,5,38,47,0,0,1,ninguno
36,Mundo,KCL,Reino Unido,https://www.kcl.ac.uk,true,,King's College London,en-GB,1,1,2,0,,OneTrust,1,2,41,1,0,40,40,0,0,1,ninguno
37,Mundo,UCSD,EE.UU.,https://www.ucsd.edu,true,,University of California San Diego,en,1,1,26,11,_ttp YSC VISITOR_INFO1_LIVE _ga_ZBPHLZYTS4 _ga _gcl_au _tt_enable_cookie _ttp test_cookie _hjSessionUser_3662797 _hjSession_3662797,,0,3,44,2,7,35,35,7,0,2,ninguno
38,Mundo,LMU,Alemania,https://www.lmu.de,true,,Startseite - LMU München,de,1,1,0,0,,,0,1,9,0,0,9,9,0,0,0,AA
39,Mundo,Duke,EE.UU.,https://www.duke.edu,true,,"Duke University - Fueled by creativity, informed by scholarship",en-US,1,1,17,11,YSC VISITOR_INFO1_LIVE __utma __utmc __utmz __utmt_UA-3896341-5 __utmb _ga _ga_EFHNRXCSHV _clck _clsk,,1,1,7,0,0,7,7,0,0,0,AA
40,Mundo,Manchester,Reino Unido,https://www.manchester.ac.uk,true,,The University of Manchester,en,1,1,20,5,_gcl_au _ttp test_cookie YSC VISITOR_INFO1_LIVE,OneTrust,0,0,0,0,0,0,0,0,0,0,AAA
41,Mundo,UBC,Canadá,https://www.ubc.ca,true,,The University of British Columbia,en-ca,1,1,12,4,_gcl_au _ga_Q74JQJCYJK _ga IDE,,0,2,18,0,5,13,13,5,0,0,A
42,Mundo,Sydney,Australia,https://www.sydney.edu.au,true,,One of Australia’s top universities - The University of Sydney,en-US,1,1,67,22,s_ecid _gcl_au _ga_KXYY9PEVLH _ga AMCV_35B46472540D9EE20A4C98A6%40AdobeOrg _ttp IDE mbox _tt_enable_cookie _ttp s_ips s_ppv _fbp _hjSessionUser_550296 _hjSession_550296 s_cc Hm_lvt_1426d6da699eb30a7515d65930a0dbff Hm_lpvt_1426d6da699eb30a7515d65930a0dbff HMACCOUNT s_tp YSC VISITOR_INFO1_LIVE,,0,3,15,1,1,13,14,1,0,0,ninguno
43,Mundo,Paris-Saclay,Francia,https://www.universite-paris-saclay.fr/en,true,,Université Paris-Saclay,en,1,1,2,0,,Tarteaucitron,1,2,8,1,0,7,7,0,0,1,ninguno
44,Mundo,Kyoto,Japón,https://www.kyoto-u.ac.jp/en,true,,KYOTO UNIVERSITY,en,1,1,2,2,_ga_P51JW1MC7Y _ga,,0,2,5,0,5,0,1,4,0,0,A
45,Mundo,Illinois,EE.UU.,https://illinois.edu,true,,Illinois,en-US,1,1,4,2,_ga_TWFEJJKL35 _ga,OneTrust,0,1,9,0,0,9,9,0,0,0,AA
46,Mundo,UT Austin,EE.UU.,https://www.utexas.edu,true,,The University of Texas at Austin,en,1,1,17,9,_gid _gat_UA-11887171-8 _gat_UA-11887171-2 _ga_PTWC4TZX3W _ga _ga_EVFNF1Z4Q4 _ga_X3HZEK54PC _ga_4W6P6NJBBS _clck,,0,1,25,0,0,25,25,0,0,0,AA
47,Mundo,UW,EE.UU.,https://www.washington.edu,true,,UW Homepage,en,1,1,43,10,_gcl_au _ga _ga_3T65WK0BM8 _ga_JLHM9WH4JV _clck IDE nmstat test_cookie _fbp _clsk,,0,3,11,1,7,3,3,7,0,1,ninguno
48,Mundo,NTU,Singapur,https://www.ntu.edu.sg,true,,Nanyang Technological University - NTU Singapore,en,1,1,12,9,_gcl_au _ttp _ga _ga_8LPDJ1LB78 IDE _ga_DWDBVB5J8J _ga_PWNJKZG9MN _ga_DX9Q4KPWT3 _ga_NP4QFYPSX6,,1,4,17,7,3,7,8,9,0,0,ninguno
49,Mundo,McGill,Canadá,https://www.mcgill.ca,true,,Azure WAF,,1,1,0,0,,,0,3,3,2,1,0,2,0,1,0,ninguno
50,Mundo,CUHK,Hong Kong,https://www.cuhk.edu.hk/english/index.html,true,,The Chinese University of Hong Kong,en,1,1,19,10,__utma __utmc __utmz __utmt __utmb _ga _ga_3VWFFZCDJ6 _fbp _clck _clsk,,0,6,46,6,10,30,33,11,0,2,ninguno
51,Mundo,CMU,EE.UU.,https://www.cmu.edu,true,,Carnegie Mellon University | CMU,en,1,1,13,7,_clck _ga _gcl_au test_cookie _clsk _ga_1XQYSMEBVE MUID,OneTrust,1,2,3,1,0,2,2,1,0,0,ninguno
52,Mundo,Wisconsin,EE.UU.,https://www.wisc.edu,true,,University of Wisconsin–Madison,en,1,1,6,4,_ga_D04HXCEERG _ga _ga _ga_PLJ9E3ZY82,,1,1,45,0,0,45,45,0,0,0,AA
53,Mundo,USTC,China,https://en.ustc.edu.cn,true,,University of Science and Technology of China,,1,1,5,3,Hm_lvt_1c599d6edf63923fd73ae82fd7293a24 Hm_lpvt_1c599d6edf63923fd73ae82fd7293a24 HMACCOUNT,,0,5,12,11,1,0,3,7,1,1,ninguno
54,Mundo,WUSTL,EE.UU.,https://washu.edu,true,,Home | WashU,en-US,1,1,14,12,_ga_T94ZQ4ENLH _ga utag_main__sn utag_main__se utag_main__ss utag_main__st utag_main_ses_id utag_main__pn utag_main_v_id utag_main_dc_visit utag_main_dc_event utag_main_dc_region,,0,3,26,5,0,21,21,4,0,1,ninguno
55,Mundo,Monash,Australia,https://www.monash.edu,true,,Monash University | Study at Monash Uni | Melbourne,en,1,1,12,3,YSC VISITOR_INFO1_LIVE utag_main,,1,2,18,0,1,17,18,0,0,0,A
56,Mundo,SNU,Corea del Sur,https://en.snu.ac.kr,true,,Seoul National University,en,1,1,3,2,_ga_PVQ4G3Z4TR _ga,,0,3,22,0,14,8,22,0,0,0,A
57,Mundo,Heidelberg,Alemania,https://www.uni-heidelberg.de/en,true,,Heidelberg University,en,1,1,2,0,,,0,2,68,1,0,67,67,0,0,1,ninguno
58,Mundo,HKUST,Hong Kong,https://hkust.edu.hk/,true,,The Hong Kong University of Science and Technology ｜World's Top 50 Universities｜Leading Research Excellence,en,1,1,4,4,_gid _gat_UA-126519042-1 _ga_472DPMG63L _ga,,0,6,20,14,6,0,13,5,0,2,ninguno
59,Mundo,Karolinska,Suecia,https://ki.se/en,true,,Karolinska Institutet - a medical university,en,1,1,2,0,,,0,5,7,4,2,1,2,2,0,3,ninguno
60,Mundo,TU Delft,Países Bajos,https://www.tudelft.nl/en/,true,,Delft University of Technology | TU Delft | Challenge. Change. Impact!,en,1,1,1,0,,Cookiebot,1,3,23,0,22,1,18,5,0,0,A
61,Mundo,ANU,Australia,https://www.anu.edu.au/,true,,The Australian National University,en,1,1,10,4,personalization_id _fbp _ga_E1GV4NJHV2 _ga,OneTrust,1,1,1,0,0,1,1,0,0,0,AA
62,Mundo,KU Leuven,Bélgica,https://www.kuleuven.be/english/,true,,KU Leuven,en,1,1,6,0,,OneTrust,1,3,5,1,3,1,5,0,0,0,ninguno
63,Mundo,Queensland,Australia,https://www.uq.edu.au/,true,,The University of Queensland,en,1,1,28,13,_gcl_au IDE _ga_QG0JXDMRML _ga _hjSessionUser_2849117 _hjSession_2849117 MUID _fbp _clck _uetsid _uetvid _clsk MUID,,0,2,13,1,0,12,13,0,0,0,ninguno
64,Ecuador,EPN,EC,https://www.epn.edu.ec,true,,,es,1,1,3,0,,,0,3,4,2,2,0,2,2,0,0,ninguno
65,Ecuador,ESPOL,EC,https://www.espol.edu.ec,true,,Escuela Superior Politécnica del Litoral,es,1,1,5,4,_ga_2QNGYSJLK4 _ga _gid _gat_gtag_UA_5343888_2,CookieYes,1,4,76,2,67,7,64,10,0,2,ninguno
66,Ecuador,ESPOCH,EC,https://www.espoch.edu.ec,true,,Inicio - ESPOCH｜ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,es,1,1,2,0,,CookieYes,1,3,70,16,4,50,54,16,0,0,ninguno
67,Ecuador,ESPAM MFL,EC,https://www.espam.edu.ec,true,,ESPAM MFL,es,1,1,0,0,,,0,7,32,14,9,9,21,8,0,3,ninguno
68,Ecuador,ESPE,EC,https://www.espe.edu.ec,true,,ESPE | Universidad de las Fuerzas Armadas | Sangolquí,es,1,1,81,7,__utma __utmc __utmz __utmt __utmb _ga_DNYB2YPXC9 _ga,,0,3,20,11,9,0,0,18,0,2,ninguno
69,Ecuador,UCE,EC,https://www.uce.edu.ec,true,,administrativos - Universidad Central del Ecuador,es,1,1,8,5,__utma __utmc __utmz __utmt __utmb,,0,4,97,17,15,65,80,17,0,0,ninguno
70,Ecuador,UCuenca,EC,https://www.ucuenca.edu.ec,true,,Home - UCUENCA,es-ES,1,1,12,8,_ga _ga_23BSZ91CCT pys_session_limit pys_start_session pys_first_visit pysTrafficSource pys_landing_page _fbp,,1,5,61,57,4,0,5,39,0,17,ninguno
71,Ecuador,UG,EC,https://www.ug.edu.ec,true,,"Universidad de Guayaquil – La universidad más grande, importante y gloriosa del país.",es,1,1,2,0,,,0,1,22,0,0,22,22,0,0,0,AA
72,Ecuador,UNL,EC,https://www.unl.edu.ec,true,,Inicio Universidad Nacional de Loja,es,1,1,2,2,_ga_HCDKPL9C20 _ga,CookieYes,0,4,122,115,6,1,14,108,0,0,ninguno
73,Ecuador,UAE,EC,https://www.uagraria.edu.ec,true,,UAE - La Nueva Universidad Agraria,es,1,1,4,4,_ga _gid _gat _ga_5PM2XSRM63,,0,5,34,6,15,13,28,0,0,6,ninguno
74,Ecuador,UTA,EC,https://uta.edu.ec,true,,UTA,es,1,1,0,0,,,0,3,15,6,2,7,9,0,0,6,ninguno
75,Ecuador,UTB,EC,https://utb.edu.ec,true,,Universidad Técnica de Babahoyo | Por ti UTB,es,1,1,9,6,_gid _gat_gtag_UA_68893477_2 YSC VISITOR_INFO1_LIVE _ga_WNXLYS2MLG _ga,,0,7,32,23,9,0,6,21,0,5,ninguno
76,Ecuador,UTC,EC,https://www.utc.edu.ec,true,,Universidad Técnica de Cotopaxi > Home,es-ES,1,1,10,2,YSC VISITOR_INFO1_LIVE,,0,5,40,39,1,0,19,19,0,2,ninguno
77,Ecuador,UTMACH,EC,https://www.utmachala.edu.ec,true,,Universidad Técnica de Machala,es-ec,1,1,0,0,,,0,4,8,2,6,0,7,1,0,0,ninguno
78,Ecuador,UTM,EC,https://www.utm.edu.ec,true,,Universidad Técnica de Manabí - Inicio,es-es,1,1,2,0,,,0,5,39,23,7,9,14,12,0,13,ninguno
79,Ecuador,UTN,EC,https://www.utn.edu.ec,true,,Universidad Técnica del Norte – Ciencia y Técnica al Servicio del Pueblo,es,1,1,3,2,_ga_SBC1J4DHX0 _ga,,0,4,23,9,5,9,15,8,0,0,ninguno
80,Ecuador,UTEQ,EC,https://www.uteq.edu.ec,true,,UTEQ - Universidad Técnica Estatal de Quevedo,es,1,1,3,3,_ga_WVWWZZ7544 _ga _ga_SSTPXREYGZ,,0,5,110,109,0,1,7,0,0,103,ninguno
81,Ecuador,UTELVT,EC,https://www.utelvt.edu.ec,true,,Universidad Técnica Luis Vargas Torres – Universidad Técnica Luis Vargas Torres,es,1,1,0,0,,,0,4,32,6,9,17,27,5,0,0,ninguno
82,Ecuador,UEB,EC,https://www.ueb.edu.ec,true,,Universidad Estatal de Bolívar,es,1,1,2,0,,CookieYes,0,5,55,28,13,14,27,26,0,2,ninguno
83,Ecuador,UNESUM,EC,https://unesum.edu.ec,true,,UNIVERSIDAD ESTATAL DEL SUR DE MANABÍ – UNESUM,es,1,1,1,0,,,0,2,8,8,0,0,1,7,0,0,ninguno
84,Ecuador,UNEMI,EC,https://www.unemi.edu.ec,true,,UNEMI - ¡La Universidad en línea del Ecuador!,es,1,1,2,2,_ga _ga_MQGK6RGL8F,,0,5,34,28,6,0,6,23,0,5,ninguno
85,Ecuador,UEA,EC,https://www.uea.edu.ec,true,,Universidad Estatal Amazónica – Educación con excelencia académica,es,1,1,2,2,_ga_450T1JQNMR _ga,,0,1,17,0,17,0,17,0,0,0,A
86,Ecuador,UPSE,EC,https://www.upse.edu.ec,true,,UPSE,es-es,1,1,2,0,,,0,3,7,1,6,0,4,2,0,1,ninguno
87,Ecuador,ULEAM,EC,https://www.uleam.edu.ec,true,,ULEAM,es,1,1,4,4,_gid _gat_gtag_UA_81009815_1 _ga_12F9F68E6S _ga,,0,8,36,20,7,9,18,8,0,10,ninguno
88,Ecuador,UNACH,EC,https://www.unach.edu.ec,true,,Inicio » Universidad Nacional de Chimborazo,es-CO,1,1,5,4,_gid _gat_gtag_UA_133447811_1 _ga_YQBSJ5PHNG _ga,,0,6,30,10,18,2,9,21,0,0,ninguno
89,Ecuador,UNAE,EC,https://unae.edu.ec,true,,UNAE,es-ES,1,1,12,7,_ga_5FWX93M6TG YSC VISITOR_INFO1_LIVE _gid _gat_gtag_UA_154339291_1 _ga_R13W2764LB _ga,,0,3,14,1,10,3,13,1,0,0,ninguno
90,Ecuador,UPEC,EC,https://upec.edu.ec,true,,UPEC,es,1,1,11,0,,,0,3,30,10,20,0,20,7,0,3,ninguno
91,Ecuador,Yachay Tech,EC,https://yachaytech.edu.ec,true,,Universidad YachayTech – Hacemos ciencia y tecnología,es-EC,1,1,1,0,,,0,5,31,16,1,14,14,12,0,5,ninguno
92,Ecuador,Ikiam,EC,https://www.ikiam.edu.ec,true,,Universidad Regional Amazónica Ikiam,es,1,1,2,2,_ga_HFS94B3LXM _ga,,0,3,41,14,24,3,27,14,0,0,ninguno
93,Ecuador,UArtes,EC,https://www.uartes.edu.ec,true,,Universidad de las Artes - Universidad de las Artes,es-ES,1,1,2,2,_ga_8044E6TKJB _ga,CookieYes,0,5,45,12,19,14,27,18,0,0,ninguno
94,Ecuador,Amawtay Wasi,EC,https://uaw.edu.ec,true,,Inicio UAW - Universidad Amawtay Wasi,es,1,1,2,0,,,0,4,30,3,24,3,29,1,0,0,ninguno
95,Ecuador,USECIPOL,EC,https://usecipol.edu.ec,true,,USECIPOL | Universidad de Seguridad Ciudadana y Ciencias Policiales,es,1,1,0,0,,,0,1,4,0,0,4,4,0,0,0,AA
96,Ecuador,IAEN,EC,https://www.iaen.edu.ec,true,,INICIO - Universidad de Posgrado del Estado,es,1,1,6,2,YSC VISITOR_INFO1_LIVE,,0,3,5,2,1,2,3,0,0,2,ninguno
97,Ecuador,UASB,EC,https://www.uasb.edu.ec,true,,Universidad Andina Simón Bolívar - Bienvenidos al nuevo portal,es,1,1,80,17,pys_session_limit pys_start_session pys_first_visit pysTrafficSource pys_landing_page _fbp _gcl_au _ga_8G7C03T250 _ttp _gid _gat_gtag_UA_64150728_1 _ga_T68NNTWDMD _ga personalization_id _tt_enable_cookie _ttp IDE,IAB-TCF,1,6,41,30,8,3,23,14,0,4,ninguno
98,Ecuador,FLACSO,EC,https://www.flacso.edu.ec,true,,Inicio | FLACSO Ecuador :: Universidad Latinoamericana de Postgrado Líder en Ciencias Sociales,es,1,1,1,0,,CookieYes,0,3,38,21,17,0,18,20,0,0,ninguno
99,Ecuador,PUCE,EC,https://www.puce.edu.ec,true,,"Carreras universitarias en Quito, Ecuador | PUCE 80 años",es,1,1,30,15,_ttp _tt_enable_cookie _ttp _ga _ga_H8JQ0KWN0K _fbp _gcl_au _ga_1TG94HC9HF _clck test_cookie _clsk _hjSessionUser_4991704 _hjSession_4991704 MUID MUID,,0,5,31,12,12,7,15,16,0,0,ninguno
100,Ecuador,UCSG,EC,https://www.ucsg.edu.ec,true,,UCSG – Universidad Católica de Santiago de Guayaquil,es,1,1,14,3,_ga_Z1DV026L7M _ga _fbp,Complianz,1,4,10,7,2,1,2,8,0,0,ninguno
101,Ecuador,UCACUE,EC,https://www.ucacue.edu.ec,true,,Universidad Católica de Cuenca - UCACUE - Universidad Católica de Cuenca,es,1,1,24,14,_ttp _ga_MSV6X9XSF1 _ga _tt_enable_cookie _ttp pys_session_limit pys_start_session pys_first_visit pysTrafficSource pys_landing_page _fbp _clck _clsk MUID,,1,6,38,16,5,17,17,10,0,11,ninguno
102,Ecuador,ULVR,EC,https://www.ulvr.edu.ec,true,,ULVR – Universidad Laica Vicente Rocafuerte de Guayaquil,es,1,1,1,0,,,0,2,13,11,2,0,2,11,0,0,ninguno
103,Ecuador,UTPL,EC,https://www.utpl.edu.ec,true,,¿Qué programas hay en la UTPL?,es,1,1,6,5,_ga_5W6THEE90T _ga _fbp _clck _clsk,,0,6,35,9,1,25,30,3,0,2,ninguno
104,Ecuador,UTE,EC,https://ute.edu.ec,true,,"Universidad UTE - La mejor Universidad del Ecuador | Posgrado, Grado, ...",es,1,1,0,0,,,0,3,29,9,5,15,20,9,0,0,ninguno
105,Ecuador,UDA,EC,https://www.uazuay.edu.ec,true,,Universidad del Azuay,es,1,1,2,2,_hjSessionUser_3811066 _hjSession_3811066,,1,4,31,13,12,6,19,12,0,0,ninguno
106,Ecuador,UPS,EC,https://www.ups.edu.ec,true,,Universidad Politécnica Salesiana | UPS Ecuador - UPS,es-ES,1,1,116,16,_gid _gat YSC VISITOR_INFO1_LIVE _gcl_au _clck _ttp _ga_G3SXTJRVXE _ga _tt_enable_cookie _ttp _clsk _fbp MUID IDE MUID,,0,4,10,10,0,0,5,2,0,3,ninguno
107,Ecuador,UISEK,EC,https://uisek.edu.ec,true,,UISEK - Ecuador,es,1,1,21,12,_ttp _tt_enable_cookie _ttp _gid _gat_UA-27018080-1 _gat_gtag_UA_120295323_1 _ga_XJR5CJJLR4 _ga _ga_ES4V2WR0X1 _gcl_au _fbp test_cookie,,0,5,28,18,10,0,11,11,0,6,ninguno
108,Ecuador,UEES,EC,https://uees.edu.ec,true,,UEES - Universidad Espíritu Santo - Ecuador,es-EC,1,1,39,19,YSC VISITOR_INFO1_LIVE _gcl_au _ttp _ga_RG4RVWE64Q _gid _gat_UA-172180399-2 _gat_UA-217409406-3 personalization_id IDE _tt_enable_cookie _ttp _ga_T4TERSTX4G _ga _clck _fbp _clsk _ga_STV75W996F _ga_KMEPWM9403,,0,4,30,6,8,16,25,5,0,0,ninguno
109,Ecuador,USFQ,EC,https://www.usfq.edu.ec,true,,Inicio | Universidad San Francisco de Quito - Ecuador,es,1,1,3,3,_ga_G80CBJM3N2 _ga _fbp,,0,6,54,4,16,34,51,2,0,1,ninguno
110,Ecuador,UDLA,EC,https://www.udla.edu.ec,true,,"UDLA | Educación Superior de calidad en Quito, Ecuador | UDLA",es,1,1,12,0,,Cookiebot IAB-TCF,1,6,53,14,7,32,40,6,0,7,ninguno
111,Ecuador,UIDE,EC,https://www.uide.edu.ec,true,,Universidad Internacional del Ecuador,es,1,1,24,7,_pin_unauth _uetsid _uetvid MUID _clck _clsk MUID,CookieYes,1,10,45,30,12,3,8,21,0,16,ninguno
112,Ecuador,UNIANDES,EC,https://www.uniandes.edu.ec,true,,Uniandes | Universidad Regional Autónoma de los Andes,es,1,1,0,0,,,0,4,22,7,15,0,11,9,0,2,ninguno
113,Ecuador,UPACIFICO,EC,https://upacifico.edu.ec,true,,UPACIFICO Ecuador. Formación Universitaria de calidad,es,1,1,5,4,_gcl_au _ga_4DXVYNQP5Y _ga test_cookie,,0,2,25,4,21,0,21,4,0,0,ninguno
114,Ecuador,UTI,EC,https://www.indoamerica.edu.ec,true,,"Universidad Indoamérica | Carreras, Posgrados e Innovación EducativaPostula a nuestras carreras de grado y programas de posgrado -",es,1,1,27,19,_ttp pys_session_limit pys_start_session pys_first_visit pysTrafficSource pys_landing_page _fbp _gcl_au _ga_0G8LBGW2QF _ga_TY4XSDKKNQ _ga_WHTF7DF7Q5 _ga _gid _gat_gtag_UA_245920016_1 test_cookie _tt_enable_cookie _ttp _hjSessionUser_3201143 _hjSession_3201143,,0,5,20,9,10,1,8,12,0,0,ninguno
