id,grupo,sigla,universidad,pais,url,fecha,axe_version,ok,https,cookies_total_pre,cookies_rastreo_pre,nombres_pre,nombres_rastreo,cmp,banner,title,lang,viewport,skip_link,ax_violaciones,ax_nodos,nodos_A,nodos_AA,nodos_AAA,perceptible,operable,comprensible,robusto,max_nivel_sin_fallo,incompletos,passes
33,ecuador,IAEN,Instituto de Altos Estudios Nacionales,EC,https://www.iaen.edu.ec,2026-08-14T06:42:58.817Z,4.13.0,yes,yes,6,2,lp_session_guest | YSC | VISITOR_INFO1_LIVE | VISITOR_PRIVACY_METADATA | __Secure-YNID | __Secure-ROLLOUT_TOKEN,YSC | VISITOR_INFO1_LIVE,,no,INICIO - Universidad de Posgrado del Estado,es,yes,no,3,5,2,1,2,3,0,0,2,ninguno,4,33
34,ecuador,UASB,"Universidad Andina Simón Bolívar, sede Ecuador",EC,https://www.uasb.edu.ec,2026-08-14T06:43:06.971Z,4.13.0,yes,yes,80,17,pys_session_limit | pys_start_session | pys_first_visit | pysTrafficSource | pys_landing_page | last_pysTrafficSource | last_pys_landing_page | _fbp | _gcl_au | _ga_8G7C03T250 | _ttp | _gid | _gat_gtag_UA_64150728_1 | pbid | _ga_T68NNTWDMD | _ga | _twpid | guest_id_marketing | guest_id_ads | personalization_id | guest_id | __cf_bm | _tt_enable_cookie | _ttp | muc_ads | __cf_bm | ttcsid | ttcsid_CHMIO1JC77UCDSLJ1P00 | lidc | li_sugr | bcookie | __cf_bm | receive-cookie-deprecation | receive-cookie-deprecation | __adroll_fpc | UserMatchHistory | AnalyticsSyncHistory | __ar_v4 | bscookie | CMID | CMPS | CMPRO | c | tuuid_lu | tuuid | TapAd_TS | TapAd_DID | IDE | mako_uid | SERVERID | i | tluid | pi | audit_p | khaos | khaos_p | audit | receive-cookie-deprecation | rlas3 | __adroll | __adroll_shared | pid | TestIfCookieP | csync | KRTBCOOKIE_10 | PugT | pxrc | OTP | XANDR_PANID | uuid2 | t_gid | t_pt_gid | did | didts | nnls | pxrc | TDID | anj | TDCPM | TapAd_3WAY_SYNCS,pys_session_limit | pys_start_session | pys_first_visit | pysTrafficSource | pys_landing_page | _fbp | _gcl_au | _ga_8G7C03T250 | _ttp | _gid | _gat_gtag_UA_64150728_1 | _ga_T68NNTWDMD | _ga | personalization_id | _tt_enable_cookie | _ttp | IDE,IAB-TCF,yes,Universidad Andina Simón Bolívar - Bienvenidos al nuevo portal,es,yes,no,6,41,30,8,3,23,14,0,4,ninguno,2,25
35,ecuador,FLACSO,FLACSO Ecuador,EC,https://www.flacso.edu.ec,2026-08-14T06:43:14.710Z,4.13.0,yes,yes,1,0,cf_clearance,,CookieYes,no,Inicio | FLACSO Ecuador :: Universidad Latinoamericana de Postgrado Líder en Ciencias Sociales,es,yes,yes,3,38,21,17,0,18,20,0,0,ninguno,2,28
36,ecuador,PUCE,Pontificia Universidad Católica del Ecuador,EC,https://www.puce.edu.ec,2026-08-14T06:43:25.361Z,4.13.0,yes,yes,30,15,_ttp | li_sugr | lidc | bcookie | __cf_bm | CLID | UserMatchHistory | AnalyticsSyncHistory | _tt_enable_cookie | _ttp | bscookie | _ga | _ga_H8JQ0KWN0K | ttcsid | ttcsid_D0MGCJBC77U2LS75RK60 | _fbp | _gcl_au | _ga_1TG94HC9HF | _clck | test_cookie | _clsk | _hjSessionUser_4991704 | _hjSession_4991704 | MUID | MR | SRM_B | SM | MUID | MR | ANONCHK,_ttp | _tt_enable_cookie | _ttp | _ga | _ga_H8JQ0KWN0K | _fbp | _gcl_au | _ga_1TG94HC9HF | _clck | test_cookie | _clsk | _hjSessionUser_4991704 | _hjSession_4991704 | MUID | MUID,,no,"Carreras universitarias en Quito, Ecuador | PUCE 80 años",es,yes,no,5,31,12,12,7,15,16,0,0,ninguno,3,21
37,ecuador,UCSG,Universidad Católica de Santiago de Guayaquil,EC,https://www.ucsg.edu.ec,2026-08-14T06:43:36.417Z,4.13.0,yes,yes,14,3,_GRECAPTCHA | lp_session_guest | PHPSESSID | pmpro_visit | sbjs_migrations | sbjs_current_add | sbjs_first_add | sbjs_current | sbjs_first | sbjs_udata | sbjs_session | _ga_Z1DV026L7M | _ga | _fbp,_ga_Z1DV026L7M | _ga | _fbp,Complianz,yes,UCSG – Universidad Católica de Santiago de Guayaquil,es,yes,no,4,10,7,2,1,2,8,0,0,ninguno,2,30
38,ecuador,UCACUE,Universidad Católica de Cuenca,EC,https://www.ucacue.edu.ec,2026-08-14T06:43:46.012Z,4.13.0,yes,yes,24,14,_GRECAPTCHA | _ttp | __cf_bm | CLID | _ga_MSV6X9XSF1 | _ga | _tt_enable_cookie | _ttp | pys_session_limit | pys_start_session | pys_first_visit | pysTrafficSource | pys_landing_page | last_pysTrafficSource | last_pys_landing_page | _fbp | ttcsid | ttcsid_CG9OMIBC77U573C8UFI0 | _clck | _clsk | __cf_bm | pbid | SM | MUID,_ttp | _ga_MSV6X9XSF1 | _ga | _tt_enable_cookie | _ttp | pys_session_limit | pys_start_session | pys_first_visit | pysTrafficSource | pys_landing_page | _fbp | _clck | _clsk | MUID,,yes,Universidad Católica de Cuenca - UCACUE - Universidad Católica de Cuenca,es,yes,yes,6,38,16,5,17,17,10,0,11,ninguno,6,36
39,ecuador,ULVR,Universidad Laica Vicente Rocafuerte de Guayaquil,EC,https://www.ulvr.edu.ec,2026-08-14T06:43:53.471Z,4.13.0,yes,yes,1,0,lp_session_guest,,,no,ULVR – Universidad Laica Vicente Rocafuerte de Guayaquil,es,yes,no,2,13,11,2,0,2,11,0,0,ninguno,2,20
40,ecuador,UTPL,Universidad Técnica Particular de Loja,EC,https://www.utpl.edu.ec,2026-08-14T06:44:01.190Z,4.13.0,yes,yes,6,5,CLID | _ga_5W6THEE90T | _ga | _fbp | _clck | _clsk,_ga_5W6THEE90T | _ga | _fbp | _clck | _clsk,,no,¿Qué programas hay en la UTPL?,es,yes,no,6,35,9,1,25,30,3,0,2,ninguno,4,30
41,ecuador,UTE,Universidad UTE,EC,https://ute.edu.ec,2026-08-14T06:44:11.122Z,4.13.0,yes,yes,0,0,,,,no,"Universidad UTE - La mejor Universidad del Ecuador | Posgrado, Grado, ...",es,yes,no,3,29,9,5,15,20,9,0,0,ninguno,3,28
42,ecuador,UDA,Universidad del Azuay,EC,https://www.uazuay.edu.ec,2026-08-14T06:44:18.982Z,4.13.0,yes,yes,2,2,_hjSessionUser_3811066 | _hjSession_3811066,_hjSessionUser_3811066 | _hjSession_3811066,,yes,Universidad del Azuay,es,yes,no,4,31,13,12,6,19,12,0,0,ninguno,5,28
