id,grupo,sigla,regla,impacto,criterio,principio,nivel,nodos,ayuda
32,mundo,HKU,aria-toggle-field-name,serious,4.1.2,Robusto,A,1,ARIA toggle fields must have an accessible name
32,mundo,HKU,target-size,serious,2.5.8,Operable,AA,1,"All touch targets must be 24px large, or leave sufficient space"
33,mundo,Zhejiang,link-name,serious,2.4.4,Operable,A,12,Links must have discernible text
33,mundo,Zhejiang,image-alt,critical,1.1.1,Perceptible,A,1,Images must have alternative text
33,mundo,Zhejiang,meta-viewport,moderate,1.4.4,Perceptible,AA,1,Zooming and scaling must not be disabled
34,mundo,NYU,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,2,Elements must meet enhanced color contrast ratio thresholds
35,mundo,SJTU,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,38,Elements must meet enhanced color contrast ratio thresholds
35,mundo,SJTU,color-contrast,serious,1.4.3,Perceptible,AA,4,Elements must meet minimum color contrast ratio thresholds
35,mundo,SJTU,image-alt,critical,1.1.1,Perceptible,A,4,Images must have alternative text
35,mundo,SJTU,frame-title,serious,4.1.2,Robusto,A,1,Frames must have an accessible name
35,mundo,SJTU,meta-viewport,moderate,1.4.4,Perceptible,AA,1,Zooming and scaling must not be disabled
36,mundo,KCL,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,40,Elements must meet enhanced color contrast ratio thresholds
36,mundo,KCL,aria-valid-attr,critical,4.1.2,Robusto,A,1,ARIA attributes must conform to valid names
37,mundo,UCSD,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,35,Elements must meet enhanced color contrast ratio thresholds
37,mundo,UCSD,target-size,serious,2.5.8,Operable,AA,7,"All touch targets must be 24px large, or leave sufficient space"
37,mundo,UCSD,aria-hidden-focus,serious,4.1.2,Robusto,A,2,ARIA hidden element must not be focusable or contain focusable elements
38,mundo,LMU,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,9,Elements must meet enhanced color contrast ratio thresholds
39,mundo,Duke,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,7,Elements must meet enhanced color contrast ratio thresholds
41,mundo,UBC,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,13,Elements must meet enhanced color contrast ratio thresholds
41,mundo,UBC,target-size,serious,2.5.8,Operable,AA,5,"All touch targets must be 24px large, or leave sufficient space"
42,mundo,Sydney,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,13,Elements must meet enhanced color contrast ratio thresholds
42,mundo,Sydney,color-contrast,serious,1.4.3,Perceptible,AA,1,Elements must meet minimum color contrast ratio thresholds
42,mundo,Sydney,link-name,serious,2.4.4,Operable,A,1,Links must have discernible text
43,mundo,Paris-Saclay,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,7,Elements must meet enhanced color contrast ratio thresholds
43,mundo,Paris-Saclay,aria-valid-attr,critical,4.1.2,Robusto,A,1,ARIA attributes must conform to valid names
44,mundo,Kyoto,target-size,serious,2.5.8,Operable,AA,4,"All touch targets must be 24px large, or leave sufficient space"
44,mundo,Kyoto,color-contrast,serious,1.4.3,Perceptible,AA,1,Elements must meet minimum color contrast ratio thresholds
45,mundo,Illinois,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,9,Elements must meet enhanced color contrast ratio thresholds
46,mundo,UT Austin,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,25,Elements must meet enhanced color contrast ratio thresholds
47,mundo,UW,target-size,serious,2.5.8,Operable,AA,7,"All touch targets must be 24px large, or leave sufficient space"
47,mundo,UW,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,3,Elements must meet enhanced color contrast ratio thresholds
47,mundo,UW,aria-hidden-focus,serious,4.1.2,Robusto,A,1,ARIA hidden element must not be focusable or contain focusable elements
48,mundo,NTU,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,7,Elements must meet enhanced color contrast ratio thresholds
48,mundo,NTU,link-name,serious,2.4.4,Operable,A,6,Links must have discernible text
48,mundo,NTU,target-size,serious,2.5.8,Operable,AA,3,"All touch targets must be 24px large, or leave sufficient space"
48,mundo,NTU,image-alt,critical,1.1.1,Perceptible,A,1,Images must have alternative text
49,mundo,McGill,aria-progressbar-name,serious,1.1.1,Perceptible,A,1,ARIA progressbar nodes must have an accessible name
49,mundo,McGill,color-contrast,serious,1.4.3,Perceptible,AA,1,Elements must meet minimum color contrast ratio thresholds
49,mundo,McGill,html-has-lang,serious,3.1.1,Comprensible,A,1,<html> element must have a lang attribute
50,mundo,CUHK,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,30,Elements must meet enhanced color contrast ratio thresholds
50,mundo,CUHK,target-size,serious,2.5.8,Operable,AA,9,"All touch targets must be 24px large, or leave sufficient space"
50,mundo,CUHK,aria-input-field-name,serious,4.1.2,Robusto,A,2,ARIA input fields must have an accessible name
50,mundo,CUHK,aria-required-children,critical,1.3.1,Perceptible,A,2,Certain ARIA roles must contain particular children
50,mundo,CUHK,link-name,serious,2.4.4,Operable,A,2,Links must have discernible text
50,mundo,CUHK,meta-viewport,moderate,1.4.4,Perceptible,AA,1,Zooming and scaling must not be disabled
51,mundo,CMU,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,2,Elements must meet enhanced color contrast ratio thresholds
51,mundo,CMU,link-name,serious,2.4.4,Operable,A,1,Links must have discernible text
52,mundo,Wisconsin,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,45,Elements must meet enhanced color contrast ratio thresholds
53,mundo,USTC,link-name,serious,2.4.4,Operable,A,7,Links must have discernible text
53,mundo,USTC,image-alt,critical,1.1.1,Perceptible,A,2,Images must have alternative text
53,mundo,USTC,html-has-lang,serious,3.1.1,Comprensible,A,1,<html> element must have a lang attribute
53,mundo,USTC,label,critical,4.1.2,Robusto,A,1,Form elements must have labels
53,mundo,USTC,meta-viewport,moderate,1.4.4,Perceptible,AA,1,Zooming and scaling must not be disabled
54,mundo,WUSTL,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,21,Elements must meet enhanced color contrast ratio thresholds
54,mundo,WUSTL,link-name,serious,2.4.4,Operable,A,4,Links must have discernible text
54,mundo,WUSTL,aria-valid-attr,critical,4.1.2,Robusto,A,1,ARIA attributes must conform to valid names
55,mundo,Monash,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,17,Elements must meet enhanced color contrast ratio thresholds
55,mundo,Monash,meta-viewport,moderate,1.4.4,Perceptible,AA,1,Zooming and scaling must not be disabled
56,mundo,SNU,color-contrast,serious,1.4.3,Perceptible,AA,13,Elements must meet minimum color contrast ratio thresholds
56,mundo,SNU,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,8,Elements must meet enhanced color contrast ratio thresholds
56,mundo,SNU,meta-viewport,moderate,1.4.4,Perceptible,AA,1,Zooming and scaling must not be disabled
57,mundo,Heidelberg,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,67,Elements must meet enhanced color contrast ratio thresholds
57,mundo,Heidelberg,aria-prohibited-attr,serious,4.1.2,Robusto,A,1,Elements must only use permitted ARIA attributes
58,mundo,HKUST,list,serious,1.3.1,Perceptible,A,8,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements"
58,mundo,HKUST,color-contrast,serious,1.4.3,Perceptible,AA,5,Elements must meet minimum color contrast ratio thresholds
58,mundo,HKUST,aria-roles,critical,4.1.2,Robusto,A,2,ARIA roles used must conform to valid values
58,mundo,HKUST,link-name,serious,2.4.4,Operable,A,2,Links must have discernible text
58,mundo,HKUST,scrollable-region-focusable,serious,2.1.1,Operable,A,2,Scrollable region must have keyboard access
58,mundo,HKUST,target-size,serious,2.5.8,Operable,AA,1,"All touch targets must be 24px large, or leave sufficient space"
59,mundo,Karolinska,aria-allowed-attr,critical,4.1.2,Robusto,A,2,Elements must only use supported ARIA attributes
59,mundo,Karolinska,target-size,serious,2.5.8,Operable,AA,2,"All touch targets must be 24px large, or leave sufficient space"
59,mundo,Karolinska,aria-valid-attr-value,critical,4.1.2,Robusto,A,1,ARIA attributes must conform to valid values
59,mundo,Karolinska,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,1,Elements must meet enhanced color contrast ratio thresholds
59,mundo,Karolinska,image-alt,critical,1.1.1,Perceptible,A,1,Images must have alternative text
60,mundo,TU Delft,color-contrast,serious,1.4.3,Perceptible,AA,17,Elements must meet minimum color contrast ratio thresholds
60,mundo,TU Delft,target-size,serious,2.5.8,Operable,AA,5,"All touch targets must be 24px large, or leave sufficient space"
60,mundo,TU Delft,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,1,Elements must meet enhanced color contrast ratio thresholds
61,mundo,ANU,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,1,Elements must meet enhanced color contrast ratio thresholds
62,mundo,KU Leuven,color-contrast,serious,1.4.3,Perceptible,AA,3,Elements must meet minimum color contrast ratio thresholds
62,mundo,KU Leuven,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,1,Elements must meet enhanced color contrast ratio thresholds
