#,Universidad,Sigla,Tipo,Ciudad,Sitio,Verificacion,Cookies_antes_consentir,Nombres_cookies,Rastreo,CMP_live,Banner_live,Banner_estudio,PolCookies_estudio
53,Universidad Tecnológica Empresarial de Guayaquil,UTEG,Autofinanciada,Guayaquil,https://www.uteg.edu.ec,Verificado en vivo,16,"wp-wpml_current_language, gp_easy_passthrough_session, pys_session_limit, pys_start_session, pys_first_visit, pysTrafficSource, pys_landing_page, last_pysTrafficSource, last_pys_landing_page, pbid",Si,Ninguna,No,No detectable,No
54,Universidad Tecnológica Israel,UISRAEL,Autofinanciada,Quito,https://www.uisrael.edu.ec,Verificado en vivo,12,"pys_session_limit, pys_start_session, pys_first_visit, pysTrafficSource, pys_landing_page, last_pysTrafficSource, last_pys_landing_page, _fbp, pbid, _ga_V27RS2GGDQ",Si,"Cookiebot, Complianz",Sí,No detectable,Sí
55,Universidad de Especialidades Turísticas,UDET,Autofinanciada,Quito,https://www.udet.edu.ec,Verificado en vivo,5,"_ga_XNE2Q2CKBY, _gid, _gat_gtag_UA_214964925_1, _ga_EJ3V1JB3S2, _ga",Si,Ninguna,No,No detectable,No
56,Universidad Metropolitana del Ecuador,UMET,Autofinanciada,Guayaquil,https://umet.edu.ec,Verificado en vivo,9,"random1, random2, random3, random4, pll_language, _gcl_au, _ga, _ga_2J1L9P1VMY, _fbp",Si,CookieYes,No,No detectable,No
57,Universidad de Otavalo,U. Otavalo,Autofinanciada,Otavalo,https://www.uotavalo.edu.ec,Verificado en vivo,0,0,No,CookieYes,No,No detectable,No
58,Universidad San Gregorio de Portoviejo,USGP,Autofinanciada,Portoviejo,https://www.sangregorio.edu.ec,Verificado en vivo,8,"_gcl_au, _tt_enable_cookie, _ttp, ttcsid, ttcsid_x, vk, sk, spvc",Si,Ninguna,No,No detectable,No
59,Universidad de los Hemisferios,U. Hemisferios,Autofinanciada,Quito,https://www.uhemisferios.edu.ec,Verificado en vivo,11,"PHPSESSID, _ga_ZFRLYLC1Y6, _ga, _gid, _gat_UA-134045233-1, _fbp, _gcl_au, __hstc, hubspotutk, __hssrc",Si,CookieYes,No,Sí,No
60,Universidad Iberoamericana del Ecuador,UNIB.E,Autofinanciada,Quito,https://unibe.edu.ec,Verificado en vivo,0,0,No,CookieYes,No,No detectable,Sí
61,Universidad Tecnológica Ecotec,ECOTEC,Autofinanciada,Samborondón,https://ecotec.edu.ec,Verificado en vivo,22,"_gcl_au, cmplz_consent_mode, _ga_MFVR4S8MFR, _ga, pll_language, ft_utm_source, ft_utm_medium, ft_landing, ft_referrer, ft_timestamp",Si,Complianz,Sí,Sí,Sí
62,Universidad del Río,UDR,Autofinanciada,Guayaquil,https://udr.edu.ec,Verificado en vivo,4,"_ga_5HXBYBZBNB, _ga, _ga_8F7QTS9R25, _ga_WQNLTBSK8V",Si,Ninguna,No,No detectable,No
63,Universidad Bolivariana del Ecuador,UBE,Autofinanciada,Durán,https://ube.edu.ec,Verificado en vivo,0,0,No,CookieYes,Sí,Sí,Sí
