grupo,\#,Abbr.,C,QS,THE,ARWU,Not.,Frm.,Rts.,DPO,Ckp.,Acc.,Type,Notice,LOPDP,Rights,Transp.,nueva_2024
ecuador,23,UPSE,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,si,no_aplica,parcial,P,parcial,si,si,si,no
ecuador,24,ULEAM,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no,no_aplica,no,P,no,no,no,si,no
ecuador,25,UNACH,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,si,no_aplica,si,P,si,si,si,si,no
ecuador,26,UNAE,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no,no_aplica,no,P,no,no,no,si,no
ecuador,27,UPEC,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no,no_aplica,no,P,no,parcial,no,si,no
ecuador,28,Yachay Tech,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no,no_aplica,no,P,no,no,no,si,no
ecuador,29,Ikiam,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,si,no_aplica,no,P,si,si,si,si,no
ecuador,30,UArtes,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,si,no_aplica,no,P,si,si,si,si,no
ecuador,31,Amawtay Wasi,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no,no_aplica,no,P,no,no,no,si,no
ecuador,32,USECIPOL,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no,no_aplica,no,P,parcial,no,no,si,si
ecuador,33,IAEN,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no,no_aplica,si,P,si,si,si,si,no
ecuador,34,UASB,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,si,no_aplica,no,P,si,si,si,si,no
ecuador,35,FLACSO,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no,no_aplica,no,P,no,no,no,si,no
ecuador,36,PUCE,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,si,no_aplica,no,C,si,si,si,si,no
ecuador,37,UCSG,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,si,no_aplica,no,C,si,si,si,si,no
ecuador,38,UCACUE,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,si,no_aplica,si,C,si,si,si,si,no
ecuador,39,ULVR,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no,no_aplica,no,C,no,no,no,si,no
ecuador,40,UTPL,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,si,no_aplica,no,C,si,si,si,nv,no
ecuador,41,UTE,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no_aplica,no,no_aplica,si,C,si,no,no,nv,no
