id,grupo,sigla,regla,impacto,criterio,principio,nivel,nodos,ayuda
27,ecuador,UPEC,color-contrast,serious,1.4.3,Perceptible,AA,20,Elements must meet minimum color contrast ratio thresholds
27,ecuador,UPEC,link-name,serious,2.4.4,Operable,A,7,Links must have discernible text
27,ecuador,UPEC,aria-hidden-focus,serious,4.1.2,Robusto,A,3,ARIA hidden element must not be focusable or contain focusable elements
28,ecuador,Yachay Tech,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,14,Elements must meet enhanced color contrast ratio thresholds
28,ecuador,Yachay Tech,link-name,serious,2.4.4,Operable,A,11,Links must have discernible text
28,ecuador,Yachay Tech,button-name,critical,4.1.2,Robusto,A,4,Buttons must have discernible text
28,ecuador,Yachay Tech,aria-prohibited-attr,serious,4.1.2,Robusto,A,1,Elements must only use permitted ARIA attributes
28,ecuador,Yachay Tech,target-size,serious,2.5.8,Operable,AA,1,"All touch targets must be 24px large, or leave sufficient space"
29,ecuador,Ikiam,color-contrast,serious,1.4.3,Perceptible,AA,24,Elements must meet minimum color contrast ratio thresholds
29,ecuador,Ikiam,link-name,serious,2.4.4,Operable,A,14,Links must have discernible text
29,ecuador,Ikiam,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,3,Elements must meet enhanced color contrast ratio thresholds
30,ecuador,UArtes,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,14,Elements must meet enhanced color contrast ratio thresholds
30,ecuador,UArtes,color-contrast,serious,1.4.3,Perceptible,AA,12,Elements must meet minimum color contrast ratio thresholds
30,ecuador,UArtes,link-name,serious,2.4.4,Operable,A,11,Links must have discernible text
30,ecuador,UArtes,target-size,serious,2.5.8,Operable,AA,7,"All touch targets must be 24px large, or leave sufficient space"
30,ecuador,UArtes,aria-required-children,critical,1.3.1,Perceptible,A,1,Certain ARIA roles must contain particular children
31,ecuador,Amawtay Wasi,color-contrast,serious,1.4.3,Perceptible,AA,24,Elements must meet minimum color contrast ratio thresholds
31,ecuador,Amawtay Wasi,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,3,Elements must meet enhanced color contrast ratio thresholds
31,ecuador,Amawtay Wasi,image-alt,critical,1.1.1,Perceptible,A,2,Images must have alternative text
31,ecuador,Amawtay Wasi,link-name,serious,2.4.4,Operable,A,1,Links must have discernible text
32,ecuador,USECIPOL,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,4,Elements must meet enhanced color contrast ratio thresholds
33,ecuador,IAEN,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,2,Elements must meet enhanced color contrast ratio thresholds
33,ecuador,IAEN,frame-title,serious,4.1.2,Robusto,A,2,Frames must have an accessible name
33,ecuador,IAEN,color-contrast,serious,1.4.3,Perceptible,AA,1,Elements must meet minimum color contrast ratio thresholds
34,ecuador,UASB,link-name,serious,2.4.4,Operable,A,13,Links must have discernible text
34,ecuador,UASB,image-alt,critical,1.1.1,Perceptible,A,12,Images must have alternative text
34,ecuador,UASB,color-contrast,serious,1.4.3,Perceptible,AA,8,Elements must meet minimum color contrast ratio thresholds
