id,group,abbr,page_url,criterion,act_rule,element_n,tag,selector,accessible_name,name_source,full_src,src_source,srcset,css_width,css_height,natural_width,natural_height,containing_link,nearby_text,svg_markup,evaluator_code,date,outcome_TOFILL,justification_TOFILL
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,58,img,div.home-sustain__slider--slide > div.home-sustain__item > div.home-sustain__item--bg > img,SDG 5,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_sdgs/public/2025-01/SDG_5.png?itok=chbqC1xW,currentSrc,,706,40,880,640,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,59,img,div.home-sustain__slider--slide > div.home-sustain__item > div.home-sustain__item--bg > img,SDG 6,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_sdgs/public/2025-01/SDG_6.png?itok=2Ks1dkYc,currentSrc,,706,40,880,640,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,60,img,div.home-sustain__slider--slide > div.home-sustain__item > div.home-sustain__item--bg > img,SDG 7,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_sdgs/public/2025-01/SDG_7.png?itok=-LuSx0at,currentSrc,,706,225,880,640,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,61,img,div.home-sustain__slider--slide > div.home-sustain__item > div.home-sustain__item--bg > img,SDG 9,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_sdgs/public/2025-01/SDG_9.png?itok=ov997cE7,currentSrc,,706,40,880,640,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,62,img,div.home-sustain__slider--slide > div.home-sustain__item > div.home-sustain__item--bg > img,SDG 9,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_sdgs/public/2025-01/SDG_9_0.png?itok=2Y29XZJn,currentSrc,,706,40,880,640,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,63,img,div.home-sustain__slider--slide > div.home-sustain__item > div.home-sustain__item--bg > img,SDG 10,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_sdgs/public/2025-01/SDG_10.png?itok=hY80Xdck,currentSrc,,706,40,880,640,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,64,img,div.home-sustain__slider--slide > div.home-sustain__item > div.home-sustain__item--bg > img,SDG 11,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_sdgs/public/2025-01/SDG_11.png?itok=zXeat7f1,currentSrc,,706,40,880,640,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,65,img,div.home-sustain__slider--slide > div.home-sustain__item > div.home-sustain__item--bg > img,SDG 12,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_sdgs/public/2025-01/SDG_12.png?itok=fkpuIMTl,currentSrc,,706,40,880,640,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,66,img,div.home-sustain__slider--slide > div.home-sustain__item > div.home-sustain__item--bg > img,SDG 13,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_sdgs/public/2025-01/SDG_13.png?itok=b6C6jhTg,currentSrc,,706,225,880,640,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,67,img,div.home-sustain__slider--slide > div.home-sustain__item > div.home-sustain__item--bg > img,SDG 14,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_sdgs/public/2025-01/SDG_14.png?itok=ZLQJN4eG,currentSrc,,706,40,880,640,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,68,img,div.home-sustain__slider--slide > div.home-sustain__item > div.home-sustain__item--bg > img,SDG 15,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_sdgs/public/2025-01/SDG_15.png?itok=h-CAKY2s,currentSrc,,706,40,880,640,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,69,img,div.home-sustain__slider--slide > div.home-sustain__item > div.home-sustain__item--bg > img,SDG 16,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_sdgs/public/2025-01/SDG_16.png?itok=cg2GXyCm,currentSrc,,706,40,880,640,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,70,img,div.home-sustain__slider--slide > div.home-sustain__item > div.home-sustain__item--bg > img,SDG 17,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_sdgs/public/2025-01/SDG_17.png?itok=x1cToHLM,currentSrc,,706,40,880,640,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,80,img,div.footer__privacy > div.footer__logo > div.field > img,HKUST,alt,https://hkust.edu.hk/sites/default/files/2024-03/HKUST_logo_1.svg,currentSrc,,112,36,187,60,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,81,img,div.footer__awards > a.footer__awards-image-link > div.footer__awards-image > img,usthk,alt,https://hkust.edu.hk/sites/default/files/2025-01/ust.hk_Blue_EN.svg,currentSrc,,90,26,138,40,https://hkust.edu.hk/,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,82,img,div.footer__awards > a.footer__awards-image-link > div.footer__awards-image > img,Digital Accessibility Recognition Scheme,alt,https://hkust.edu.hk/sites/default/files/2025-06/DARS-Elderly-Logo.svg,currentSrc,,83,60,83,60,https://www.digital-accessibility.hk/,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,83,img,div.footer__awards > a.footer__awards-image-link > div.footer__awards-image > img,Digital Accessibility Recognition Scheme,alt,https://hkust.edu.hk/sites/default/files/2025-06/DARS-Logo.svg,currentSrc,,83,60,83,60,https://hkust.edu.hk/accessibility,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,84,img,div.footer__awards > a.footer__awards-image-link > div.footer__awards-image > img,Caring Organization Award,alt,https://hkust.edu.hk/sites/default/files/2024-03/award-2_1.svg,currentSrc,,90,47,116,60,https://caringcompany.org.hk/en/,,,R02,2026-09-08,,
