fecha_hora	codigo	hoja	bloque	sitio	regla	resultado
2026-09-11T04:34:24	R04	244	082	UCL	5effbb	cumple
2026-09-11T04:34:41	R04	244	083	UCL	5effbb	cumple
2026-09-11T04:34:57	R04	244	084	UCL	5effbb	cumple
2026-09-11T04:35:01	R04	244	085	UCL	5effbb	cumple
2026-09-11T04:35:04	R04	244	086	UCL	5effbb	cumple
2026-09-11T04:35:07	R04	244	087	UCL	5effbb	cumple
2026-09-11T04:35:11	R04	244	088	UCL	5effbb	cumple
2026-09-11T04:35:14	R04	244	089	UCL	5effbb	cumple
2026-09-11T04:35:18	R04	244	090	UCL	5effbb	cumple
2026-09-11T04:35:21	R04	244	091	UCL	5effbb	cumple
2026-09-11T04:35:23	R04	244	092	UCL	5effbb	cumple
2026-09-11T04:35:26	R04	244	093	UCL	5effbb	cumple
2026-09-11T04:35:32	R04	244	094	UCL	5effbb	cumple
2026-09-11T04:35:38	R04	244	095	UCL	5effbb	cumple
2026-09-11T04:35:46	R04	244	096	UCL	5effbb	cumple
2026-09-11T04:35:49	R04	244	097	UCL	5effbb	cumple
2026-09-11T04:35:52	R04	244	098	UCL	5effbb	cumple
2026-09-11T04:35:57	R04	244	099	UCL	5effbb	cumple
2026-09-11T04:36:00	R04	244	100	UCL	5effbb	cumple
2026-09-11T04:36:03	R04	244	101	UCL	5effbb	cumple
2026-09-11T04:36:07	R04	244	102	UCL	5effbb	cumple
2026-09-11T04:36:10	R04	244	103	UCL	5effbb	cumple
2026-09-11T04:36:14	R04	244	104	UCL	5effbb	cumple
2026-09-11T04:36:51	R04	244	105	UCL	5effbb	cumple
2026-09-11T04:36:58	R04	244	106	UCL	5effbb	cumple
2026-09-11T04:37:01	R04	244	107	UCL	5effbb	cumple
2026-09-11T04:37:04	R04	244	108	UCL	5effbb	cumple
2026-09-11T04:37:06	R04	244	109	UCL	5effbb	cumple
2026-09-11T04:37:09	R04	244	110	UCL	5effbb	cumple
2026-09-11T04:37:13	R04	244	111	UCL	5effbb	cumple
2026-09-11T04:37:15	R04	244	112	UCL	5effbb	cumple
2026-09-11T04:37:39	R04	244	113	UCL	5effbb	cumple
2026-09-11T04:39:11	R04	244	114	UCL	fd3a94	cumple
2026-09-11T04:42:31	R04	244	115	UCL	fd3a94	cumple
2026-09-11T04:44:46	R04	111	079	HKUST	qt1vmo	cumple
2026-09-11T04:45:43	R04	111	080	HKUST	qt1vmo	falla
2026-09-11T04:46:48	R04	111	081	HKUST	qt1vmo	cumple
2026-09-11T04:47:00	R04	111	082	HKUST	qt1vmo	cumple
2026-09-11T04:47:25	R04	111	083	HKUST	qt1vmo	cumple
2026-09-11T04:48:20	R04	111	084	UNESUM	qt1vmo	falla
2026-09-11T04:49:17	R04	111	085	UNESUM	qt1vmo	cumple
2026-09-11T04:50:29	R04	111	086	UNESUM	qt1vmo	falla
2026-09-11T04:51:28	R04	111	087	UNESUM	qt1vmo	falla
2026-09-11T04:51:55	R04	111	088	UNESUM	qt1vmo	falla
2026-09-11T04:53:33	R04	111	089	UNESUM	qt1vmo	falla
2026-09-11T04:54:24	R04	111	090	UNESUM	qt1vmo	falla
2026-09-11T04:54:53	R04	111	091	UNESUM	qt1vmo	falla
2026-09-11T04:55:38	R04	111	092	UNESUM	qt1vmo	falla
2026-09-11T04:59:24	R04	111	093	UNESUM	qt1vmo	falla
2026-09-11T05:00:56	R04	111	094	UNESUM	qt1vmo	falla
2026-09-11T05:01:50	R04	111	095	UNESUM	qt1vmo	falla
2026-09-11T05:18:36	R04	111	079	HKUST	qt1vmo	cumple
2026-09-11T05:19:01	R04	111	080	HKUST	qt1vmo	falla
2026-09-11T05:21:16	R04	111	084	UNESUM	qt1vmo	cumple
2026-09-11T05:22:08	R04	111	086	UNESUM	qt1vmo	falla
2026-09-11T05:22:41	R04	111	087	UNESUM	qt1vmo	cumple
2026-09-11T05:23:01	R04	111	088	UNESUM	qt1vmo	cumple
2026-09-11T05:24:21	R04	111	089	UNESUM	qt1vmo	falla
2026-09-11T05:25:16	R04	111	090	UNESUM	qt1vmo	cumple
2026-09-11T05:26:22	R04	111	091	UNESUM	qt1vmo	cumple
2026-09-11T05:26:51	R04	111	092	UNESUM	qt1vmo	cumple
2026-09-11T05:27:20	R04	111	093	UNESUM	qt1vmo	cumple
2026-09-11T05:27:54	R04	111	094	UNESUM	qt1vmo	falla
2026-09-11T05:28:06	R04	111	095	UNESUM	qt1vmo	cumple
2026-09-11T05:29:04	R04	111	096	UNESUM	qt1vmo	falla
2026-09-11T05:29:17	R04	111	097	UNESUM	qt1vmo	cumple
2026-09-11T05:29:59	R04	111	098	UNESUM	qt1vmo	falla
2026-09-11T05:30:15	R04	111	099	UNESUM	qt1vmo	cumple
2026-09-11T05:30:24	R04	111	100	UNESUM	qt1vmo	cumple
2026-09-11T05:32:58	R04	111	101	UNESUM	qt1vmo	falla
2026-09-11T05:35:15	R04	111	102	UNESUM	qt1vmo	falla
2026-09-11T05:35:45	R04	111	103	UNESUM	qt1vmo	cumple
2026-09-11T05:41:03	R04	111	104	UNESUM	qt1vmo	cumple
2026-09-11T05:42:34	R04	111	105	UNESUM	qt1vmo	falla
