id,vantage,run,red,grupo,sigla,pais,url,ok,error,title,lang,viewport,https,cookies_pre,rastreo_pre,rastreo_pre_ext,nombres_rastreo_ext,cmp,banner,consent_default,consent_default_region,regiones,uet_consent,clarity_consent,ax_violaciones,ax_nodos,elementos,nodos_totales,nodos_por_mil_elementos,nivelA_nodos,nivelAA_nodos,nivelAAA_nodos,Perceptible,Operable,Comprensible,Robusto,max_nivel_sin_fallo_auto,incompletos,incompletos_nodos,n_dominios_terceros,prov_emitida_sin_cookie,prov_no_emitida,servidor,cdn,cms,fecha
40,US,1,centro_datos,mundo,Manchester,GB,https://www.manchester.ac.uk,true,,The University of Manchester,en,1,1,61,24,49,_gcl_au __Secure-YNID YSC VISITOR_INFO1_LIVE VISITOR_PRIVACY_METADATA __Secure-ROLLOUT_TOKEN _ttp sa-user-id sa-user-id sa-user-id-v2 sa-user-id-v2 sa-user-id-v4 sa-user-id-v4 _ga_1ET7C6PX1B li_sugr bcookie lidc nmstat UserMatchHistory AnalyticsSyncHistory _ga_WL8VVSMZQ2 bscookie _ga_Z9M4Y77VXZ _ga _gid _gat_UA-4619980-2 _gat_UA-3161158-1 sa-user-id sa-user-id-v2 sa-user-id-v3 sa-user-id-v4 _twpid _uetsid _uetvid muc_ads personalization_id MUID MR _tt_enable_cookie _ttp _fbp _hjSessionUser_1511907 _hjSession_1511907 IDE _clck ttcsid ttcsid_CJ8D08BC77U3K5NQQDNG ttcsid_CDFTTMRC77U4B2URJ40G _clsk,OneTrust,0,0,0,,0,1,0,0,943,2121,0,0,0,0,0,0,0,0,AAA,1,27,46,Meta Google Tag Manager Google Analytics Microsoft Clarity Hotjar Siteimprove,,Apache,CloudFront,,2026-08-16T19:00:28.578Z
41,US,1,centro_datos,mundo,UBC,CA,https://www.ubc.ca,true,,The University of British Columbia,en-ca,1,1,12,4,10,_gcl_au _ga_Q74JQJCYJK _ga _scid _scid_r IDE TapAd_TS TapAd_DID TapAd_3WAY_SYNCS sc_at,,0,0,0,,0,0,2,18,404,973,44.55,0,5,13,13,5,0,0,A,4,8,15,Google Tag Manager Google Analytics,,Apache/2.4.59 (),CloudFront,,2026-08-16T19:00:35.630Z
42,US,1,centro_datos,mundo,Sydney,AU,https://www.sydney.edu.au,true,,One of Australia’s top universities - The University of Sydney,en-US,1,1,67,22,40,_gcl_au _ga_KXYY9PEVLH _ga s_ecid AMCV_35B46472540D9EE20A4C98A6%40AdobeOrg receive-cookie-deprecation _ttp mbox _scid _scid_r IDE s_ips s_tp s_ppv _hjSessionUser_550296 _hjSession_550296 _tt_enable_cookie _ttp li_sugr lidc _fbp UserMatchHistory AnalyticsSyncHistory bcookie ttcsid ttcsid_CQHKB7RC77U6M4ETUDB0 bscookie TapAd_TS TapAd_DID s_cc TapAd_3WAY_SYNCS sc_at Hm_lvt_1426d6da699eb30a7515d65930a0dbff Hm_lpvt_1426d6da699eb30a7515d65930a0dbff HMACCOUNT __Secure-YNID YSC VISITOR_INFO1_LIVE VISITOR_PRIVACY_METADATA __Secure-ROLLOUT_TOKEN,,0,0,0,,0,0,3,15,1146,3460,13.09,1,1,13,14,1,0,0,ninguno,2,5,50,Meta Google Tag Manager Hotjar Google Analytics,,Apache,CloudFront,,2026-08-16T19:00:45.198Z
43,US,1,centro_datos,mundo,Paris-Saclay,FR,https://www.universite-paris-saclay.fr/en,true,,Université Paris-Saclay,en,1,1,2,0,0,,Tarteaucitron,1,0,0,,0,0,2,8,1242,3305,6.44,1,0,7,7,0,0,1,ninguno,3,39,2,,,,,Drupal,2026-08-16T19:00:53.259Z
44,US,1,centro_datos,mundo,Kyoto,JP,https://www.kyoto-u.ac.jp/en,true,,KYOTO UNIVERSITY,en,1,1,2,2,2,_ga_P51JW1MC7Y _ga,,0,0,0,,0,0,2,5,801,2159,6.24,0,5,0,1,4,0,0,A,3,20,5,Google Tag Manager Google Analytics Google Ads,,nginx,Fastly/Varnish,generator: Drupal 11 (https://www.drupal.org) Drupal,2026-08-16T19:01:01.149Z
45,US,1,centro_datos,mundo,Illinois,US,https://illinois.edu,true,,Illinois,en-US,1,1,4,2,2,_ga_TWFEJJKL35 _ga,OneTrust,1,0,0,,0,0,1,9,805,1815,11.18,0,0,9,9,0,0,0,AA,4,33,10,Google Tag Manager Google Analytics Google Ads,,nginx/1.22.1,,generator: WordPress 6.8.6 WordPress,2026-08-16T19:01:10.349Z
46,US,1,centro_datos,mundo,UT Austin,US,https://www.utexas.edu,true,,The University of Texas at Austin,en,1,1,25,12,24,_ga_PTWC4TZX3W _ga_EVFNF1Z4Q4 _gid CLID _gat_UA-11887171-8 _gat_UA-11887171-2 li_sugr bcookie lidc UserMatchHistory AnalyticsSyncHistory bscookie _ga _ga_X3HZEK54PC _ga_4W6P6NJBBS _clck _clsk MUID MR SRM_B SM MUID MR ANONCHK,,0,0,0,,0,0,1,25,536,1358,46.64,0,0,25,25,0,0,0,AA,3,24,16,Google Analytics Google Tag Manager Google Ads,,nginx,Fastly/Varnish,generator: Drupal 11 (https://www.drupal.org) Drupal,2026-08-16T19:01:16.922Z
47,US,1,centro_datos,mundo,UW,US,https://www.washington.edu,true,,UW Homepage,en,1,1,50,9,19,CLID _clck nmstat _gcl_au _ga _ga_3T65WK0BM8 _ga_JLHM9WH4JV _fbp IDE li_sugr _clsk lidc UserMatchHistory AnalyticsSyncHistory bcookie bscookie TapAd_TS TapAd_DID TapAd_3WAY_SYNCS,,0,0,0,,0,0,3,11,614,1291,17.92,1,7,3,3,7,0,1,ninguno,3,51,49,Google Tag Manager Meta Siteimprove Google Analytics,,Apache,,generator: WordPress 6.9.6 WordPress,2026-08-16T19:01:25.708Z
48,US,1,centro_datos,mundo,NTU,SG,https://www.ntu.edu.sg,true,,Nanyang Technological University - NTU Singapore,en,1,1,44,12,27,_ttp _ga _ga_8LPDJ1LB78 _gcl_au _ga_NP4QFYPSX6 _ga_DX9Q4KPWT3 _ga_PWNJKZG9MN _ga_DWDBVB5J8J IDE bcookie lidc _tt_enable_cookie _ttp _fbp ttcsid ttcsid_CG8HH23C77U77CS2DKOG ttcsid_D38A8JJC77U5QJRHU6EG ttcsid_D4RSFNBC77UET7S4GMLG ttcsid_D6IJSH3C77UCPJEO1NC0 sa-user-id sa-user-id sa-user-id-v2 sa-user-id-v2 sa-user-id-v3 sa-user-id-v3 sa-user-id-v4 sa-user-id-v4,,1,0,0,,0,0,4,15,2087,4285,7.19,5,3,7,8,7,0,0,ninguno,2,14,30,Meta Google Tag Manager Google Analytics,,cloudflare,Cloudflare,,2026-08-16T19:01:34.533Z
49,US,1,centro_datos,mundo,McGill,CA,https://www.mcgill.ca,true,,McGill University,,1,1,1,0,0,,,1,0,0,,0,0,3,7,479,1034,14.61,6,0,1,6,0,1,0,ninguno,1,3,0,,,,Azure,generator: Drupal 7 (http://drupal.org) Drupal,2026-08-16T19:01:42.416Z
