id,vantage,run,red,grupo,sigla,pais,url,ok,error,title,lang,viewport,https,cookies_pre,rastreo_pre,rastreo_pre_ext,nombres_rastreo_ext,cmp,banner,consent_default,consent_default_region,regiones,uet_consent,clarity_consent,ax_violaciones,ax_nodos,elementos,nodos_totales,nodos_por_mil_elementos,nivelA_nodos,nivelAA_nodos,nivelAAA_nodos,Perceptible,Operable,Comprensible,Robusto,max_nivel_sin_fallo_auto,incompletos,incompletos_nodos,n_dominios_terceros,prov_emitida_sin_cookie,prov_no_emitida,servidor,cdn,cms,fecha
41,CH,1,centro_datos,mundo,UBC,CA,https://www.ubc.ca,true,,The University of British Columbia,en-ca,1,1,8,4,7,_gcl_au _ga_Q74JQJCYJK _ga _scid _scid_r sc_at IDE,,0,0,0,,0,0,2,18,404,973,44.55,0,5,13,13,5,0,0,A,4,8,15,Google Tag Manager Google Analytics,,Apache/2.4.59 (),CloudFront,,2026-08-16T09:53:58.867Z
42,CH,1,centro_datos,mundo,Sydney,AU,https://www.sydney.edu.au,true,,One of Australia’s top universities - The University of Sydney,en-US,1,1,19,8,8,s_ecid _gcl_au _ga_KXYY9PEVLH _ga AMCV_35B46472540D9EE20A4C98A6%40AdobeOrg s_ips s_tp s_ppv,,0,0,0,,0,0,3,15,1064,3299,14.1,1,1,13,14,1,0,0,ninguno,2,5,25,Google Ads Google Tag Manager Hotjar Google Analytics Meta,,Apache,CloudFront,,2026-08-16T09:54:11.149Z
43,CH,1,centro_datos,mundo,Paris-Saclay,FR,https://www.universite-paris-saclay.fr/en,true,,Université Paris-Saclay,en,1,1,2,0,0,,Tarteaucitron,1,0,0,,0,0,2,8,1242,3305,6.44,1,0,7,7,0,0,1,ninguno,3,39,2,,,,,Drupal,2026-08-16T09:54:24.358Z
44,CH,1,centro_datos,mundo,Kyoto,JP,https://www.kyoto-u.ac.jp/en,true,,KYOTO UNIVERSITY,en,1,1,2,2,2,_ga_P51JW1MC7Y _ga,,0,0,0,,0,0,2,5,801,2159,6.24,0,5,0,1,4,0,0,A,3,20,6,Google Tag Manager Google Analytics Google Ads,,nginx,Fastly/Varnish,generator: Drupal 11 (https://www.drupal.org) Drupal,2026-08-16T09:54:34.893Z
45,CH,1,centro_datos,mundo,Illinois,US,https://illinois.edu,true,,Illinois,en-US,1,1,4,2,2,_ga_TWFEJJKL35 _ga,OneTrust,0,0,0,,0,0,1,9,759,1682,11.86,0,0,9,9,0,0,0,AA,4,43,11,Google Tag Manager Google Analytics Google Ads,,nginx/1.22.1,,generator: WordPress 6.8.6 WordPress,2026-08-16T09:54:49.696Z
46,CH,1,centro_datos,mundo,UT Austin,US,https://www.utexas.edu,true,,403 Forbidden,,0,1,0,0,0,,,0,0,0,,0,0,1,1,10,28,100,1,0,0,0,0,1,0,ninguno,0,0,0,,,Varnish,Fastly/Varnish,,2026-08-16T09:54:56.907Z
47,CH,1,centro_datos,mundo,UW,US,https://www.washington.edu,true,,UW Homepage,en,1,1,4,3,3,_gcl_au _ga _ga_3T65WK0BM8,,0,0,0,,0,0,3,11,597,1270,18.43,1,7,3,3,7,0,1,ninguno,3,51,24,Google Tag Manager Microsoft Clarity Google Ads Google Analytics LinkedIn Siteimprove Meta,,Apache,,generator: WordPress 6.9.6 WordPress,2026-08-16T09:55:09.455Z
48,CH,1,centro_datos,mundo,NTU,SG,https://www.ntu.edu.sg,true,,Nanyang Technological University - NTU Singapore,en,1,1,7,7,7,_ga _ga_8LPDJ1LB78 _gcl_au _ga_DWDBVB5J8J _ga_PWNJKZG9MN _ga_DX9Q4KPWT3 _ga_NP4QFYPSX6,,1,0,0,,0,0,4,15,2065,4262,7.26,5,3,7,8,7,0,0,ninguno,2,14,16,Google Ads Google Tag Manager Meta LinkedIn,,cloudflare,Cloudflare,,2026-08-16T09:55:21.538Z
49,CH,1,centro_datos,mundo,McGill,CA,https://www.mcgill.ca,true,,McGill University,,1,1,1,0,0,,,1,0,0,,0,0,3,7,479,1034,14.61,6,0,1,6,0,1,0,ninguno,1,3,0,,,,Azure,generator: Drupal 7 (http://drupal.org) Drupal,2026-08-16T09:55:32.099Z
50,CH,1,centro_datos,mundo,CUHK,HK,https://www.cuhk.edu.hk/english/index.html,true,,The Chinese University of Hong Kong,en,1,1,8,8,8,__utma __utmc __utmz __utmt __utmb _ga _ga_3VWFFZCDJ6 _fbp,,0,0,0,,0,0,6,37,639,1335,57.9,6,3,28,31,4,0,2,ninguno,3,9,13,Meta Microsoft Clarity Google Ads Google Tag Manager Google Analytics,,nginx,CloudFront,,2026-08-16T09:55:45.732Z
