id,vantage,run,red,grupo,sigla,pais,url,ok,error,title,lang,viewport,https,cookies_pre,rastreo_pre,rastreo_pre_ext,nombres_rastreo_ext,cmp,banner,consent_default,consent_default_region,regiones,uet_consent,clarity_consent,ax_violaciones,ax_nodos,elementos,nodos_totales,nodos_por_mil_elementos,nivelA_nodos,nivelAA_nodos,nivelAAA_nodos,Perceptible,Operable,Comprensible,Robusto,max_nivel_sin_fallo_auto,incompletos,incompletos_nodos,n_dominios_terceros,prov_emitida_sin_cookie,prov_no_emitida,servidor,cdn,cms,fecha
29,EU,3,centro_datos,mundo,Northwestern,US,https://www.northwestern.edu,true,,Northwestern University,en,1,1,9,0,0,,CookieYes,1,0,0,,0,0,0,0,3581,6046,0,0,0,0,0,0,0,0,AAA,3,7,8,Google Tag Manager Google Analytics,,Apache,,,2026-08-16T06:37:34.923Z
30,EU,3,centro_datos,mundo,Fudan,CN,https://www.fudan.edu.cn/en/,true,,Fudan University,,1,1,5,3,3,Hm_lvt_829a28d038f7cea73ca2728904e244bc Hm_lpvt_829a28d038f7cea73ca2728904e244bc HMACCOUNT,,0,0,0,,0,0,6,44,593,1208,74.2,18,3,23,40,3,1,0,ninguno,3,27,3,,,******,,,2026-08-16T06:37:49.973Z
31,EU,3,centro_datos,mundo,PSL,FR,https://www.psl.eu/en,true,,PSL University | PSL,en,1,1,1,0,0,,,1,0,0,,0,0,5,25,1710,4278,14.62,8,12,5,16,8,0,1,ninguno,4,51,4,,,Apache/2.4.67 (Debian) OpenSSL/3.5.5,,generator: Drupal 10 (https://www.drupal.org) Drupal,2026-08-16T06:38:02.514Z
32,EU,3,centro_datos,mundo,HKU,HK,https://www.hku.hk,true,,The University of Hong Kong (HKU),en,1,1,11,10,10,__utma __utmc __utmz __utmt __utmb _ga_ZHLLDTLTMG _ga _fbp _hjSessionUser_1966860 _hjSession_1966860,,0,0,0,,0,0,8,27,2485,3917,10.87,13,14,0,15,1,0,11,ninguno,4,32,9,Google Analytics Meta Google Tag Manager Hotjar Google Ads,,Apache,,,2026-08-16T06:38:15.500Z
33,EU,3,centro_datos,mundo,Zhejiang,CN,https://www.zju.edu.cn/english/,true,,Zhejiang University (ZJU),en,1,1,1,0,0,,,0,0,0,,0,0,3,14,717,1355,19.53,13,1,0,2,12,0,0,ninguno,3,67,0,,,Tengine,,,2026-08-16T06:38:29.582Z
34,EU,3,centro_datos,mundo,NYU,US,https://www.nyu.edu,true,,Human Verification,en,1,1,1,0,0,,,0,0,0,,0,0,1,1,51,94,19.61,0,0,1,1,0,0,0,AA,1,18,4,,,CloudFront,CloudFront,,2026-08-16T06:38:37.547Z
35,EU,3,centro_datos,mundo,SJTU,CN,https://www.sjtu.edu.cn,true,,上海交通大学中文主页门户网站,zh-Hans,1,1,0,0,0,,,0,0,0,,0,0,5,48,1823,4335,26.33,5,5,38,47,0,0,1,ninguno,2,20,1,,,nginx,,,2026-08-16T06:38:58.751Z
36,EU,3,centro_datos,mundo,KCL,GB,https://www.kcl.ac.uk,true,,King's College London,en-GB,1,1,2,0,0,,OneTrust,1,0,0,,0,0,2,41,738,2061,55.56,1,0,40,40,0,0,1,ninguno,3,37,7,Google Tag Manager X/Twitter Google Ads Google Analytics,,,,generator: Contensis CMS Version 17.1,2026-08-16T06:39:06.509Z
37,EU,3,centro_datos,mundo,UCSD,US,https://www.ucsd.edu,true,,University of California San Diego,en,1,1,12,6,9,_ga_ZBPHLZYTS4 _ga _gcl_au __Secure-YNID YSC __Secure-ROLLOUT_TOKEN VISITOR_INFO1_LIVE VISITOR_PRIVACY_METADATA _ttp,,0,0,0,,0,0,3,44,830,2014,53.01,2,7,35,35,7,0,2,ninguno,4,28,18,Google Ads Google Tag Manager Hotjar Google Analytics,,Apache/2.4.62 (Red Hat Enterprise Linux),,,2026-08-16T06:39:18.906Z
38,EU,3,centro_datos,mundo,LMU,DE,https://www.lmu.de,true,,Startseite - LMU München,de,1,1,0,0,0,,,0,0,0,,0,0,1,9,481,1254,18.71,0,0,9,9,0,0,0,AA,4,47,2,,,Apache,,,2026-08-16T06:39:28.849Z
39,EU,3,centro_datos,mundo,Duke,US,https://www.duke.edu,true,,"Duke University - Fueled by creativity, informed by scholarship",en-US,1,1,14,9,12,YSC VISITOR_INFO1_LIVE VISITOR_PRIVACY_METADATA __Secure-YNID __Secure-ROLLOUT_TOKEN _ga _ga_EFHNRXCSHV __utma __utmc __utmz __utmt_UA-3896341-5 __utmb,,1,0,0,,0,0,1,7,1150,2400,6.09,0,0,7,7,0,0,0,AA,3,71,21,Google Ads Google Analytics Google Tag Manager Microsoft Clarity,,Apache,,WordPress,2026-08-16T06:39:42.828Z
40,EU,3,centro_datos,mundo,Manchester,GB,https://www.manchester.ac.uk,true,,The University of Manchester,en,1,1,1,0,0,,OneTrust,1,0,0,,0,1,1,1,889,2043,1.12,1,0,0,0,0,0,1,ninguno,1,27,9,YouTube Google Ads,,Apache,CloudFront,,2026-08-16T06:39:51.731Z
41,EU,3,centro_datos,mundo,UBC,CA,https://www.ubc.ca,true,,The University of British Columbia,en-ca,1,1,8,4,7,_gcl_au _ga_Q74JQJCYJK _ga _scid _scid_r IDE sc_at,,0,0,0,,0,0,2,18,404,973,44.55,0,5,13,13,5,0,0,A,4,8,15,Google Tag Manager Google Analytics,,Apache/2.4.59 (),CloudFront,,2026-08-16T06:40:00.673Z
42,EU,3,centro_datos,mundo,Sydney,AU,https://www.sydney.edu.au,true,,One of Australia’s top universities - The University of Sydney,en-US,1,1,28,12,15,s_ecid AMCV_35B46472540D9EE20A4C98A6%40AdobeOrg _gcl_au _ga_KXYY9PEVLH _ga s_ips s_ppv _hjSessionUser_550296 _hjSession_550296 s_tp __Secure-YNID YSC __Secure-ROLLOUT_TOKEN VISITOR_INFO1_LIVE VISITOR_PRIVACY_METADATA,,0,0,0,,0,0,3,15,1068,3302,14.04,1,1,13,14,1,0,0,ninguno,2,5,27,Google Ads Google Tag Manager Hotjar Google Analytics Meta,,Apache,CloudFront,,2026-08-16T06:40:10.498Z
43,EU,3,centro_datos,mundo,Paris-Saclay,FR,https://www.universite-paris-saclay.fr/en,true,,Université Paris-Saclay,en,1,1,2,0,0,,Tarteaucitron,1,0,0,,0,0,2,8,1242,3305,6.44,1,0,7,7,0,0,1,ninguno,3,39,2,,,,,Drupal,2026-08-16T06:40:19.133Z
44,EU,3,centro_datos,mundo,Kyoto,JP,https://www.kyoto-u.ac.jp/en,true,,KYOTO UNIVERSITY,en,1,1,2,2,2,_ga_P51JW1MC7Y _ga,,0,0,0,,0,0,2,5,801,2159,6.24,0,5,0,1,4,0,0,A,3,20,6,Google Tag Manager Google Analytics Google Ads,,nginx,Fastly/Varnish,generator: Drupal 11 (https://www.drupal.org) Drupal,2026-08-16T06:40:27.813Z
45,EU,3,centro_datos,mundo,Illinois,US,https://illinois.edu,true,,Illinois,en-US,1,1,4,2,2,_ga_TWFEJJKL35 _ga,OneTrust,0,0,0,,0,0,1,9,760,1683,11.84,0,0,9,9,0,0,0,AA,4,44,11,Google Tag Manager Google Analytics Google Ads,,nginx/1.22.1,,generator: WordPress 6.8.6 WordPress,2026-08-16T06:40:39.902Z
46,EU,3,centro_datos,mundo,UT Austin,US,https://www.utexas.edu,true,,The University of Texas at Austin,en,1,1,12,8,11,_ga_PTWC4TZX3W _ga_EVFNF1Z4Q4 _gid _gat_UA-11887171-8 _ga _gat_UA-11887171-2 _ga_X3HZEK54PC _ga_4W6P6NJBBS bcookie li_gc lidc,,0,0,0,,0,0,1,25,535,1357,46.73,0,0,25,25,0,0,0,AA,3,24,15,Google Analytics Google Tag Manager Microsoft Clarity Google Ads,,nginx,Fastly/Varnish,generator: Drupal 11 (https://www.drupal.org) Drupal,2026-08-16T06:40:47.716Z
47,EU,3,centro_datos,mundo,UW,US,https://www.washington.edu,true,,UW Homepage,en,1,1,7,6,6,_ga _ga_3T65WK0BM8 _gcl_au _ga_JLHM9WH4JV nmstat test_cookie,,0,0,0,,0,0,3,11,601,1274,18.3,1,7,3,3,7,0,1,ninguno,3,51,28,Google Tag Manager Microsoft Clarity LinkedIn Siteimprove Google Analytics Meta,,Apache,,generator: WordPress 6.9.6 WordPress,2026-08-16T06:40:58.331Z
48,EU,3,centro_datos,mundo,NTU,SG,https://www.ntu.edu.sg,true,,Nanyang Technological University - NTU Singapore,en,1,1,10,7,7,_ga _ga_8LPDJ1LB78 _gcl_au _ga_DWDBVB5J8J _ga_PWNJKZG9MN _ga_DX9Q4KPWT3 _ga_NP4QFYPSX6,,1,0,0,,0,0,4,15,2060,4257,7.28,5,3,7,8,7,0,0,ninguno,2,14,26,Google Ads Google Tag Manager Meta LinkedIn StackAdapt,,cloudflare,Cloudflare,,2026-08-16T06:41:07.912Z
49,EU,3,centro_datos,mundo,McGill,CA,https://www.mcgill.ca,true,,McGill University,,1,1,1,0,0,,,1,0,0,,0,0,3,7,479,1034,14.61,6,0,1,6,0,1,0,ninguno,1,3,0,,,,Azure,generator: Drupal 7 (http://drupal.org) Drupal,2026-08-16T06:41:17.850Z
50,EU,3,centro_datos,mundo,CUHK,HK,https://www.cuhk.edu.hk/english/index.html,true,,The Chinese University of Hong Kong,en,1,1,9,8,8,__utma __utmc __utmz __utmt __utmb _ga _ga_3VWFFZCDJ6 _fbp,,0,0,0,,0,0,6,47,682,1386,68.91,6,10,31,34,11,0,2,ninguno,2,8,13,Meta Microsoft Clarity Google Ads Google Tag Manager Google Analytics,,nginx,CloudFront,,2026-08-16T06:41:29.367Z
51,EU,3,centro_datos,mundo,CMU,US,https://www.cmu.edu,true,,Carnegie Mellon University | CMU,en,1,1,6,4,4,_gcl_au _ga _ga_1XQYSMEBVE test_cookie,OneTrust,0,0,0,,0,0,1,1,806,1943,1.24,1,0,0,0,1,0,0,ninguno,5,137,20,Google Tag Manager Microsoft Clarity Google Analytics,,nginx,Fastly/Varnish,generator: Drupal 11 (https://www.drupal.org) Drupal,2026-08-16T06:41:44.389Z
52,EU,3,centro_datos,mundo,Wisconsin,US,https://www.wisc.edu,true,,University of Wisconsin–Madison,en,1,1,6,4,4,_ga_D04HXCEERG _ga _ga _ga_PLJ9E3ZY82,,1,0,0,,0,0,1,45,599,802,75.13,0,0,45,45,0,0,0,AA,2,18,6,Google Tag Manager Google Analytics,,AmazonS3,CloudFront,,2026-08-16T06:41:52.504Z
53,EU,3,centro_datos,mundo,USTC,CN,https://en.ustc.edu.cn,true,,University of Science and Technology of China,,1,1,5,3,3,Hm_lvt_1c599d6edf63923fd73ae82fd7293a24 Hm_lpvt_1c599d6edf63923fd73ae82fd7293a24 HMACCOUNT,,0,0,0,,0,0,5,12,272,677,44.12,11,1,0,3,7,1,1,ninguno,2,33,1,,,nginx,,,2026-08-16T06:42:01.615Z
